sample_id	pop_name
Kazak_Changchun262	Kazakh_Xinjiang
Kazak_Changji286	Kazakh_Xinjiang
Kazak_Changji291	Kazakh_Xinjiang
Kazak_Changji309	Kazakh_Xinjiang
Kazak_Changji315	Kazakh_Xinjiang
Kazak_Changji330	Kazakh_Xinjiang
Kazak_Changji339	Kazakh_Xinjiang
Kazak_Changji361	Kazakh_Xinjiang
Kazak_Changji371	Kazakh_Xinjiang
Kazak_Changji374	Kazakh_Xinjiang
Kazak_Changji383	Kazakh_Xinjiang
Kazak_Changji415	Kazakh_Xinjiang
Kazak_Changji434	Kazakh_Xinjiang
Kazak_Changji451	Kazakh_Xinjiang
Kazak_Changji452	Kazakh_Xinjiang
Kazak_Changji462	Kazakh_Xinjiang
Kazak_Changji478	Kazakh_Xinjiang
Kazak_Changji483	Kazakh_Xinjiang
Kazak_Changji557	Kazakh_Xinjiang
Kazak_Changji572	Kazakh_Xinjiang
Kazak_Changji577	Kazakh_Xinjiang
Kazak_Changji589	Kazakh_Xinjiang
Kazak_Changji605	Kazakh_Xinjiang
Kazak_Changji626	Kazakh_Xinjiang
Kazak_Changji631	Kazakh_Xinjiang
Kazak_Changji635	Kazakh_Xinjiang
Kazak_Changji679	Kazakh_Xinjiang
Kazak_Changji695	Kazakh_Xinjiang
Kazak_Changji698	Kazakh_Xinjiang
Kazak_Changji713	Kazakh_Xinjiang
Kazak_Changji717	Kazakh_Xinjiang
Kazak_Changji732	Kazakh_Xinjiang
Kazak_Haixi273	Kazakh_Xinjiang
Kazak_Hami295	Kazakh_Xinjiang
Kazak_Hami420	Kazakh_Xinjiang
Kazak_Hami456	Kazakh_Xinjiang
Kazak_Hami537	Kazakh_Xinjiang
Kazak_Hami548	Kazakh_Xinjiang
Kazak_Hami677	Kazakh_Xinjiang
Kazak_Hami700	Kazakh_Xinjiang
Kazak_Hami707	Kazakh_Xinjiang
Kazak_Harbin259	Kazakh_Xinjiang
Kazak_Heyuan258	Kazakh_Xinjiang
Kazak_IliKazakh279	Kazakh_Xinjiang
Kazak_IliKazakh282	Kazakh_Xinjiang
Kazak_IliKazakh284	Kazakh_Xinjiang
Kazak_IliKazakh287	Kazakh_Xinjiang
Kazak_IliKazakh292	Kazakh_Xinjiang
Kazak_IliKazakh300	Kazakh_Xinjiang
Kazak_IliKazakh301	Kazakh_Xinjiang
Kazak_IliKazakh306	Kazakh_Xinjiang
Kazak_IliKazakh316	Kazakh_Xinjiang
Kazak_IliKazakh321	Kazakh_Xinjiang
Kazak_IliKazakh323	Kazakh_Xinjiang
Kazak_IliKazakh324	Kazakh_Xinjiang
Kazak_IliKazakh327	Kazakh_Xinjiang
Kazak_IliKazakh329	Kazakh_Xinjiang
Kazak_IliKazakh333	Kazakh_Xinjiang
Kazak_IliKazakh344	Kazakh_Xinjiang
Kazak_IliKazakh347	Kazakh_Xinjiang
Kazak_IliKazakh349	Kazakh_Xinjiang
Kazak_IliKazakh351	Kazakh_Xinjiang
Kazak_IliKazakh354	Kazakh_Xinjiang
Kazak_IliKazakh355	Kazakh_Xinjiang
Kazak_IliKazakh358	Kazakh_Xinjiang
Kazak_IliKazakh363	Kazakh_Xinjiang
Kazak_IliKazakh366	Kazakh_Xinjiang
Kazak_IliKazakh373	Kazakh_Xinjiang
Kazak_IliKazakh376	Kazakh_Xinjiang
