group	original_n_samples	resample_n	bootstrap_replicates_requested	n_valid_bootstrap	metric	full_data_value	bootstrap_mean	bootstrap_sd	bootstrap_p2_5	bootstrap_p50	bootstrap_p97_5
Iranian	355	20	50	50	haplotype_diversity	0.9993634121110846	0.9958947432041169	0.0038374100677275617	0.9894737005233765	0.9947368502616882	1.0
Italian	2186	20	50	50	pi	0.001698080623264	0.0016958040953613817	0.0002515213020932415	0.001223970123101026	0.0017396690091118217	0.0022513420495670284
Italian	2186	20	50	50	theta_w	0.010965013596679	0.002857480840757489	0.0004874546649241383	0.002045128197642043	0.0028493156423792243	0.0039784099441021676
Italian	2186	20	50	50	tajima_d	-2.4043473830468467	-1.6644751882553102	0.24964450679522587	-2.0947466492652893	-1.6802905201911926	-1.2078608214855195
Italian	2186	20	50	50	haplotype_diversity	0.9953450394752544	0.9932631659507751	0.005573977520317483	0.9801315635442733	0.9947368502616882	1.0
IuMien	60	20	50	50	pi	0.0023439337990855	0.002296528280712664	0.00010467131213543161	0.0021036431775428356	0.002300924272276461	0.002468292450066656
IuMien	60	20	50	50	theta_w	0.0049049243140088	0.0033052061451599004	0.00032089225394592503	0.002578418020857498	0.003402167931199074	0.0037517406861297784
IuMien	60	20	50	50	tajima_d	-1.859726067608669	-1.246569986343384	0.23312421449420076	-1.5780319094657898	-1.3127927780151367	-0.7092944890260697
IuMien	60	20	50	50	haplotype_diversity	0.9971751412429378	0.9785263109207153	0.011475134791388878	0.9485526517033577	0.9789473414421082	0.9947368502616882
Jalayir	51	20	50	50	pi	0.0021240843953755	0.002077235337346792	0.0001357434200277121	0.0017976288887439295	0.002084934734739363	0.0023685480118729174
Jalayir	51	20	50	50	theta_w	0.0059421745301934	0.003487562332302332	0.0003404121722431932	0.0029258644208312035	0.0034957275493070483	0.004027741379104555
Jalayir	51	20	50	50	tajima_d	-2.334181284332945	-1.6640918731689454	0.21446036330252863	-1.9593436956405639	-1.684565246105194	-1.1458632141351701
Jalayir	51	20	50	50	haplotype_diversity	1.0	0.9808421123027802	0.011177744588314487	0.9538158014416694	0.9842105507850647	0.9947368502616882
Japanese	247	20	50	50	pi	0.00228582021404	0.0022872026218101384	0.00016740758356848822	0.001924221040098928	0.002287901472300291	0.0025609217584133146
Japanese	247	20	50	50	theta_w	0.0083216407864663	0.0036307935975492	0.00034732382845358744	0.0029471279704011977	0.003640319686383009	0.004258238256443292
Japanese	247	20	50	50	tajima_d	-2.2999745151275035	-1.5280383944511413	0.1571800755119472	-1.7946380108594895	-1.5482553839683533	-1.2467230618000031
Japanese	247	20	50	50	haplotype_diversity	0.9998683387643592	0.9962105321884155	0.004712209363571218	0.9842105507850647	1.0	1.0
Jarai	30	20	50	50	pi	0.0021165518628736	0.002024616454727948	0.00019670408483235416	0.0015399104304378852	0.002051900955848396	0.0023652684700209647
Jarai	30	20	50	50	theta_w	0.0030619424828505	0.002501954296603799	0.00032658756805834655	0.001888203201815486	0.0025686367880553007	0.003041112859500572
Jarai	30	20	50	50	tajima_d	-1.19493968322222	-0.756957149207592	0.3622010918077662	-1.401026976108551	-0.8165201246738434	-0.050442273914814185
Jarai	30	20	50	50	haplotype_diversity	0.9264367816091954	0.8875789415836334	0.05904840997152899	0.7473683953285217	0.8947368264198303	0.9631578922271729
Jenu	79	20	50	50	pi	0.0014796432747129	0.001439939015544951	0.0001373267501681155	0.0011422355193644762	0.0014695232384838164	0.001657402390264906
Jenu	79	20	50	50	theta_w	0.0013070918189197	0.001388084515929222	0.00010508238789985915	0.0011775753751862793	0.0013948888517916203	0.0015479864086955786
Jenu	79	20	50	50	tajima_d	0.446126982563272	0.16344697889871895	0.3959327780392543	-0.6123917534947395	0.15957161039113998	0.9934551656246182
Jenu	79	20	50	50	haplotype_diversity	0.9659201557935734	0.9504210460186004	0.02372721132844003	0.8999999761581421	0.9526315927505493	0.9830263286828995
Kalash	21	20	50	50	pi	0.0020398310199155	0.001939554673153907	0.0001405377807850094	0.0016107264702441171	0.0019516882603056729	0.0021806213539093734
Kalash	21	20	50	50	theta_w	0.0022309991211674	0.0018684706278145314	0.0002289171134199029	0.0013685220503248275	0.001888203201815486	0.0021905708767008037
Kalash	21	20	50	50	tajima_d	-0.3505141985819665	0.2006254040263593	0.4415686672991945	-0.423426266759634	0.16699598729610443	1.028840571641922
Kalash	21	20	50	50	haplotype_diversity	0.9523809523809524	0.9092631602287292	0.0306812731616931	0.8380263283848762	0.9157894849777222	0.9461842209100724
Kalueng	25	20	50	50	pi	0.0018402735868034	0.0017558047128841282	0.0001972091607559193	0.0013518088730052114	0.0017299812170676887	0.0021203029376920314
Kalueng	25	20	50	50	theta_w	0.0020937345120783	0.0016844133427366614	0.00025781362810624705	0.0010818894021213054	0.001701083965599537	0.0021225275180768222
Kalueng	25	20	50	50	tajima_d	-0.4795140207767962	0.21651151902973653	0.383144213240945	-0.3880049102008343	0.20250733941793442	0.9320558682084084
Kalueng	25	20	50	50	haplotype_diversity	0.9433333333333334	0.897578947544098	0.04553419362499572	0.8035526379942894	0.9105263352394104	0.9619736835360527
Kamar	53	20	50	50	pi	0.001500692404918	0.0014971762499772013	0.0001086780080604649	0.0012981370760826393	0.0015224089147523046	0.0016729743278119714
Kamar	53	20	50	50	theta_w	0.0017953228664466	0.00161636998411268	0.00021620476060066367	0.0012532736116554588	0.0015735026681795716	0.0020259910030290484
Kamar	53	20	50	50	tajima_d	-0.5838435170385832	-0.24823922296985984	0.4939648507965977	-1.050802719593048	-0.2048606276512146	0.7459372133016585
Kamar	53	20	50	50	haplotype_diversity	0.9564586357039188	0.9401052618026733	0.02550085198076333	0.8801315858960151	0.9473684430122375	0.977763132750988
Karen	125	20	50	50	pi	0.0022183269414215	0.0022029031626880167	0.00012819842198796467	0.0019242369220592082	0.002227074932307005	0.002386200550245121
Karen	125	20	50	50	theta_w	0.0041562734773962	0.0029299470223486425	0.0003660543003920926	0.0021548481134232135	0.0029513806803151965	0.0034872221294790506
Karen	125	20	50	50	tajima_d	-1.5468359271341885	-0.9934974592924118	0.3166955486425886	-1.4112309694290162	-1.0263586044311523	-0.26589283272624015
Karen	125	20	50	50	haplotype_diversity	0.9815483870967742	0.9714736807346344	0.014815210469609565	0.9380262926220894	0.9736841917037964	0.9894737005233765
Kathodi	34	20	50	50	pi	0.0015254250051367	0.0014762443187646569	0.00010651115987382438	0.0012927293602842838	0.0014647587668150663	0.0016811295470688492
Kathodi	34	20	50	50	theta_w	0.0024353745108261	0.001968154148198664	0.00021480184631932403	0.0016406954848207534	0.0019222248811274767	0.002428722631884739
Kathodi	34	20	50	50	tajima_d	-1.415137730398099	-1.007178539633751	0.2852808875873877	-1.5026720017194748	-1.0282235145568848	-0.4598581790924073
Kathodi	34	20	50	50	haplotype_diversity	0.9803921568627452	0.9503157877922058	0.018746298343569057	0.9157894849777222	0.9526315927505493	0.977763132750988
Kazak	47	20	50	50	pi	0.0020344268729026	0.001972410501912236	0.000152711322580685	0.0017171410145238042	0.0019591525779105723	0.002259489195421338
Kazak	47	20	50	50	theta_w	0.0052196839492782	0.003067054389975965	0.0003260805364945334	0.002555453387321904	0.0030279294587671757	0.00363649224746041
Kazak	47	20	50	50	tajima_d	-2.236037021419076	-1.4655920052528382	0.19949948349361638	-1.7960708409547805	-1.483363926410675	-1.1032712697982787
Kazak	47	20	50	50	haplotype_diversity	1.0	0.9781052625179291	0.011879365210938466	0.9444736644625664	0.9789473414421082	0.9935526415705681
Ket	30	20	50	50	pi	0.002113638413141	0.002042981933336705	0.00018468287260640784	0.001717800076585263	0.002072547096759081	0.0023304879723582417
Ket	30	20	50	50	theta_w	0.0028791399465609	0.0023291241656988857	0.00029584858060797124	0.0016981070686597377	0.00231347419321537	0.0028748319018632174
Ket	30	20	50	50	tajima_d	-1.028156492333207	-0.4666972805559635	0.4455776040981901	-1.1175480633974075	-0.518774688243866	0.4422875814139843
Ket	30	20	50	50	haplotype_diversity	0.967816091954023	0.9354736804962158	0.03530334997990864	0.8492105349898338	0.942105233669281	0.9736841917037964
Khamu	25	20	50	50	pi	0.002015288674311	0.0019169647176750003	0.00020722724921032052	0.0015038989309687167	0.0019302480504848063	0.002272663061739877
Khamu	25	20	50	50	theta_w	0.0022855269864672	0.0018759553972631693	0.00025178433516933756	0.0014667596493382006	0.001888203201815486	0.0022888084757141766
Khamu	25	20	50	50	tajima_d	-0.4690647868045838	0.12123643321916461	0.39534108181166894	-0.5221645072102546	0.07821094989776611	0.7560784488916397
Khamu	25	20	50	50	haplotype_diversity	0.9266666666666666	0.8862105298042298	0.03457522238991529	0.8193421006202698	0.8894736766815186	0.9409210249781609
Khmer	245	20	50	50	pi	0.0025495919154784	0.002556636901572347	0.0001156822353369189	0.002343336003832519	0.0025380364386364818	0.0027766017476096748
Khmer	245	20	50	50	theta_w	0.009047888706382	0.003995505971834064	0.0004040514968271949	0.003251196729252115	0.003963525407016277	0.0046796819893643255
Khmer	245	20	50	50	tajima_d	-2.279724286473509	-1.4792124617099762	0.20562447567075154	-1.7971531569957733	-1.5076873898506165	-1.0481891483068466
Khmer	245	20	50	50	haplotype_diversity	0.9965540314486452	0.9927368521690368	0.006306125662336595	0.9842105507850647	0.9947368502616882	1.0
Khon_Mueang	246	20	50	50	pi	0.0025596463470207	0.0025635358691215517	0.00013014344837915706	0.002330916724167764	0.0025848870864138007	0.0028180606081150473
Khon_Mueang	246	20	50	50	theta_w	0.0085753329478783	0.003911472414620221	0.0003820046271042602	0.00319633677136153	0.003912493120878935	0.004731990268919617
Khon_Mueang	246	20	50	50	tajima_d	-2.2254649001619957	-1.4159765887260436	0.2063169738265618	-1.7652587652206422	-1.451288104057312	-1.032272756099701
Khon_Mueang	246	20	50	50	haplotype_diversity	0.9961838393894142	0.9923157966136933	0.005785646603963549	0.9789473414421082	0.9947368502616882	1.0
Kinh	191	20	50	50	pi	0.0024818380334238	0.00246049614623189	0.00010342833541939243	0.0022329035215079784	0.002453863970004022	0.0026396944187581537
Kinh	191	20	50	50	theta_w	0.0087518314606452	0.003684888072311878	0.00026992915200654084	0.003139775729505345	0.0036743413656949997	0.004165529308374971
Kinh	191	20	50	50	tajima_d	-2.3134099538878385	-1.3704104113578797	0.1757466903068479	-1.5983750194311142	-1.3995691537857056	-0.9869925320148469
Kinh	191	20	50	50	haplotype_diversity	0.999007991182144	0.9930526399612427	0.005995378739856267	0.9801315635442733	0.9947368502616882	1.0
Koryak	78	20	50	50	pi	0.0017141779966161	0.0016862751357257365	0.00013266043193295497	0.0014560556039214135	0.0016818600706756115	0.0019254676764830945
Koryak	78	20	50	50	theta_w	0.0022290622611872	0.001825943528674543	0.0002469470099193351	0.001483770488994196	0.0018031490035355091	0.002356851834338158
Koryak	78	20	50	50	tajima_d	-0.7922760800090749	-0.2772057549655437	0.3533465202626009	-0.8826434165239334	-0.29693903028964996	0.33955788984894736
