pop1,pop2,metric,diff,ci_low,ci_high,p_value
Ningxia,Sichuan,pi,-0.00021850808822278383,-0.00039658203633820835,-0.00014365609854183906,0.6363636363636364
Ningxia,Tianjin,pi,-0.00015756091109309317,-0.0003189892419314486,-9.395284232664622e-05,0.9090909090909091
Ningxia,Xinjiang,pi,-0.00016101115002213905,-0.0003470287639117179,-4.6700770115785965e-05,0.5454545454545454
Ningxia,Yunnan,pi,-0.00022789270464671985,-0.0004243107816225904,-0.00012087387772605786,0.7272727272727273
Ningxia,Zhejiang,pi,-0.00020068889770616613,-0.0003259772415518535,-8.831566778667174e-05,0.2727272727272727
Shaanxi,Shandong,pi,-9.525018581895773e-05,-0.00016271044904704309,-5.539697726631672e-05,0.6363636363636364
Shaanxi,Shanghai,pi,1.7074259315534492e-05,-5.774560946037823e-05,8.02333374633479e-05,0.7272727272727273
Shaanxi,Shanxi,pi,2.5124816816641464e-05,-4.037657936445273e-05,8.712399315696616e-05,0.6363636363636364
Shaanxi,Sichuan,pi,-9.677658139285896e-05,-0.00016052608995218755,-7.099109267028472e-05,0.6363636363636364
Shaanxi,Tianjin,pi,-3.5829404263168296e-05,-0.00013603994674427555,-1.3535552721641322e-05,0.6363636363636364
Shaanxi,Xinjiang,pi,-3.927964319221417e-05,-0.00020029079321435325,2.876968460835144e-05,0.5454545454545454
Shaanxi,Yunnan,pi,-0.00010616119781679497,-0.00018631290216847515,-5.495595075596526e-05,0.6363636363636364
Shaanxi,Zhejiang,pi,-7.895739087624126e-05,-0.00011246007529269632,3.2097174652421616e-05,0.18181818181818182
Shandong,Shanghai,pi,0.00011232444513449222,4.0712963496053624e-05,0.00017378885893859164,0.45454545454545453
Shandong,Shanxi,pi,0.00012037500263559919,5.147709977436204e-05,0.00020302776108357091,0.5454545454545454
Shandong,Sichuan,pi,-1.5263955739012298e-06,-4.277361944200504e-05,4.0164918540527646e-05,1.0
Shandong,Tianjin,pi,5.942078155578943e-05,-4.83827390185986e-05,0.00012082436308964119,0.45454545454545453
Shandong,Xinjiang,pi,5.5970542626743554e-05,-0.00011511338826880434,0.00012199975764021677,0.8181818181818182
Shandong,Yunnan,pi,-1.0911011997837244e-05,-0.00010847315279147183,7.705362885349465e-05,0.9090909090909091
Shandong,Zhejiang,pi,1.629279494271647e-05,9.713380984966546e-06,0.00015617602352296234,0.8181818181818182
Shanghai,Shanxi,pi,8.050557501106971e-06,-2.3989919037795583e-05,9.890190493730019e-05,0.9090909090909091
Shanghai,Sichuan,pi,-0.00011385084070839345,-0.00017001289628233945,-7.950223946834486e-05,0.45454545454545453
Shanghai,Tianjin,pi,-5.290366357870279e-05,-0.0001963069008952129,-1.641097806474581e-05,0.5454545454545454
Shanghai,Xinjiang,pi,-5.6353902507748664e-05,-0.0001613633619128125,2.5466482630445703e-05,0.45454545454545453
Shanghai,Yunnan,pi,-0.00012323545713232946,-0.000212959356743314,-4.512537026531941e-05,0.6363636363636364
Shanghai,Zhejiang,pi,-9.603165019177575e-05,-0.00013555754293776253,5.104916015434073e-05,0.36363636363636365
Shanxi,Sichuan,pi,-0.00012190139820950042,-0.00020843719993264058,-6.318749077511567e-05,0.45454545454545453
Shanxi,Tianjin,pi,-6.095422107980976e-05,-0.0001946910374351645,-3.167509395538771e-05,0.7272727272727273
Shanxi,Xinjiang,pi,-6.440446000885563e-05,-0.0002205852755303305,4.885260985565826e-05,0.5454545454545454
Shanxi,Yunnan,pi,-0.00013128601463343643,-0.00023511296897370937,-4.213329365936969e-05,0.7272727272727273
Shanxi,Zhejiang,pi,-0.00010408220769288272,-0.0001455066395582127,3.8306012423397215e-06,0.36363636363636365
Sichuan,Tianjin,pi,6.094717712969066e-05,-3.5848655231577525e-05,8.886559657366579e-05,0.45454545454545453
Sichuan,Xinjiang,pi,5.7496938200644784e-05,-7.506266381820484e-05,0.00012375382660645466,0.8181818181818182
Sichuan,Yunnan,pi,-9.384616423936014e-06,-8.151706710718609e-05,5.952044375453626e-05,1.0
Sichuan,Zhejiang,pi,1.78191905166177e-05,-2.627556004126575e-06,0.00015868657632617844,0.9090909090909091
Tianjin,Xinjiang,pi,-3.450238929045876e-06,-0.00010688552682273252,0.00013846473126013633,1.0
Tianjin,Yunnan,pi,-7.033179355362667e-05,-0.00014272535578129504,4.153141093450438e-05,0.45454545454545453
Tianjin,Zhejiang,pi,-4.312798661307296e-05,-7.940097577057727e-05,9.29630172323389e-05,0.6363636363636364
Xinjiang,Yunnan,pi,-6.68815546245808e-05,-0.00019841527871958977,7.979783369229092e-05,0.7272727272727273
Xinjiang,Zhejiang,pi,-3.9677747684027084e-05,-8.169417766677683e-05,0.00018731922185611359,0.7272727272727273
Yunnan,Zhejiang,pi,2.7203806940553714e-05,-3.99658302093546e-05,0.00014437922903084115,0.9090909090909091
