ID,Haplogroup,Population
Han_Anhui4976,O2a1b2,Han_noNWC
Han_Anhui4897,O2a2,Han_noNWC
Han_Anhui4818,O2a2a1a1,Han_noNWC
Han_Anhui5011,O2a2a1a1,Han_noNWC
Han_Anhui4933,O2a2a1a1a1b1,Han_noNWC
Han_Anhui4908,O2a2a1a1b2b2b1,Han_noNWC
Han_Anhui4828,O2a2a1a2a1a,Han_noNWC
Han_Anhui4786,O2a2a1a2a1a1a2a1,Han_noNWC
Han_Anhui4950,O2a2a1a2a1b1a1,Han_noNWC
Han_Anhui4937,O2a2a1a2a3,Han_noNWC
Han_Anhui4791,O2a2a2a,Han_noNWC
Han_Anhui4794,O2a2a2a,Han_noNWC
Han_Anhui4863,O2a2b1a1a,Han_noNWC
Han_Anhui4900,O2a2b1a1a1a,Han_noNWC
Han_Anhui4920,O2a2b1a1a1a,Han_noNWC
Han_Anhui4823,O2a2b1a1a1a1a1a,Han_noNWC
Han_Anhui4965,O2a2b1a1a1a1a1a1,Han_noNWC
Han_Anhui5005,O2a2b1a1a1a1a1a1,Han_noNWC
Han_Anhui4928,O2a2b1a1a1a1a1a1a1,Han_noNWC
Han_Anhui4926,O2a2b1a1a1a1a1b1a1a1,Han_noNWC
Han_Anhui4851,O2a2b1a1a1a1a1b1a1b,Han_noNWC
Han_Anhui4973,O2a2b1a1a1a1a1b1a1b,Han_noNWC
Han_Anhui4903,O2a2b1a1a1a1a1b1a1b2a,Han_noNWC
Han_Anhui4940,O2a2b1a1a1a1a1b1a1b2a2,Han_noNWC
Han_Anhui4806,O2a2b1a1a1a2a1a1,Han_noNWC
Han_Anhui4966,O2a2b1a1a1a3,Han_noNWC
Han_Anhui4891,O2a2b1a1a1a3a1a1a,Han_noNWC
Han_Anhui4901,O2a2b1a1a1a4a2a,Han_noNWC
Han_Anhui4811,O2a2b1a1a1b2,Han_noNWC
Han_Anhui4837,O2a2b1a1a1b2,Han_noNWC
Han_Anhui4875,O2a2b1a1a1b2,Han_noNWC
