sample_id,hap_level_1,hap_level_2,hap_level_3,hap_level_4,hap_level_5,hap_level_6,hap_level_7,hap_level_8,hap_level_9,hap_level_10,hap_level_11,hap_level_12,hap_level_13,hap_level_14,hap_level_15,hap_level_16,hap_level_17,hap_level_18,hap_level_19,hap_level_20,hap_level_21,hap_level_22,hap_level_23
Han_Anhui4816,N,N1,N1b,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2
Han_Anhui4927,N,N1,N1b,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2
Han_Anhui4935,N,N1,N1b,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2
Han_Anhui4939,N,N1,N1b,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2
Han_Anhui4962,N,N1,N1b,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2
Han_Anhui4974,N,N1,N1b,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2,N1b2
Han_Anhui4961,N,N1,N1b,N1b2,N1b2a,N1b2a1,N1b2a1,N1b2a1,N1b2a1,N1b2a1,N1b2a1,N1b2a1,N1b2a1,N1b2a1,N1b2a1,N1b2a1,N1b2a1,N1b2a1,N1b2a1,N1b2a1,N1b2a1,N1b2a1,N1b2a1
Han_Anhui4859,O,O1,O1a,O1a1,O1a1a,O1a1a1,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a
Han_Anhui5016,O,O1,O1a,O1a1,O1a1a,O1a1a1,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a,O1a1a1a
Han_Anhui4972,O,O1,O1a,O1a1,O1a1a,O1a1a1,O1a1a1a,O1a1a1a1,O1a1a1a1,O1a1a1a1,O1a1a1a1,O1a1a1a1,O1a1a1a1,O1a1a1a1,O1a1a1a1,O1a1a1a1,O1a1a1a1,O1a1a1a1,O1a1a1a1,O1a1a1a1,O1a1a1a1,O1a1a1a1,O1a1a1a1
Han_Anhui4826,O,O1,O1a,O1a1,O1a1a,O1a1a1,O1a1a1a,O1a1a1a1,O1a1a1a1a,O1a1a1a1a1,O1a1a1a1a1a,O1a1a1a1a1a,O1a1a1a1a1a,O1a1a1a1a1a,O1a1a1a1a1a,O1a1a1a1a1a,O1a1a1a1a1a,O1a1a1a1a1a,O1a1a1a1a1a,O1a1a1a1a1a,O1a1a1a1a1a,O1a1a1a1a1a,O1a1a1a1a1a
Han_Anhui4795,O,O1,O1a,O1a1,O1a1a,O1a1a1,O1a1a1a,O1a1a1a1,O1a1a1a1a,O1a1a1a1a1,O1a1a1a1a1a,O1a1a1a1a1a1,O1a1a1a1a1a1,O1a1a1a1a1a1,O1a1a1a1a1a1,O1a1a1a1a1a1,O1a1a1a1a1a1,O1a1a1a1a1a1,O1a1a1a1a1a1,O1a1a1a1a1a1,O1a1a1a1a1a1,O1a1a1a1a1a1,O1a1a1a1a1a1
Han_Anhui4807,O,O1,O1a,O1a1,O1a1a,O1a1a1,O1a1a1a,O1a1a1a1,O1a1a1a1a,O1a1a1a1a1,O1a1a1a1a1a,O1a1a1a1a1a1,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a
Han_Anhui4902,O,O1,O1a,O1a1,O1a1a,O1a1a1,O1a1a1a,O1a1a1a1,O1a1a1a1a,O1a1a1a1a1,O1a1a1a1a1a,O1a1a1a1a1a1,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a
Han_Anhui4914,O,O1,O1a,O1a1,O1a1a,O1a1a1,O1a1a1a,O1a1a1a1,O1a1a1a1a,O1a1a1a1a1,O1a1a1a1a1a,O1a1a1a1a1a1,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a
Han_Anhui5009,O,O1,O1a,O1a1,O1a1a,O1a1a1,O1a1a1a,O1a1a1a1,O1a1a1a1a,O1a1a1a1a1,O1a1a1a1a1a,O1a1a1a1a1a1,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a,O1a1a1a1a1a1a
Han_Anhui4792,O,O1,O1a,O1a1,O1a1a,O1a1a1,O1a1a1a,O1a1a1a1,O1a1a1a1a,O1a1a1a1a1,O1a1a1a1a1a,O1a1a1a1a1a1,O1a1a1a1a1a1a,O1a1a1a1a1a1a1,O1a1a1a1a1a1a11,O1a1a1a1a1a1a11,O1a1a1a1a1a1a11,O1a1a1a1a1a1a11,O1a1a1a1a1a1a11,O1a1a1a1a1a1a11,O1a1a1a1a1a1a11,O1a1a1a1a1a1a11,O1a1a1a1a1a1a11
Han_Anhui4860,O,O1,O1a,O1a1,O1a1a,O1a1a1,O1a1a1a,O1a1a1a1,O1a1a1a1a,O1a1a1a1a1,O1a1a1a1a1a,O1a1a1a1a1a1,O1a1a1a1a1a1a,O1a1a1a1a1a1a6,O1a1a1a1a1a1a6,O1a1a1a1a1a1a6,O1a1a1a1a1a1a6,O1a1a1a1a1a1a6,O1a1a1a1a1a1a6,O1a1a1a1a1a1a6,O1a1a1a1a1a1a6,O1a1a1a1a1a1a6,O1a1a1a1a1a1a6
Han_Anhui4842,O,O1,O1a,O1a1,O1a1a,O1a1a1,O1a1a1a,O1a1a1a1,O1a1a1a1a,O1a1a1a1a1,O1a1a1a1a1a,O1a1a1a1a1a1,O1a1a1a1a1a1a,O1a1a1a1a1a1a7,O1a1a1a1a1a1a7,O1a1a1a1a1a1a7,O1a1a1a1a1a1a7,O1a1a1a1a1a1a7,O1a1a1a1a1a1a7,O1a1a1a1a1a1a7,O1a1a1a1a1a1a7,O1a1a1a1a1a1a7,O1a1a1a1a1a1a7
Han_Anhui4846,O,O1,O1a,O1a1,O1a1a,O1a1a1,O1a1a1a,O1a1a1a1,O1a1a1a1a,O1a1a1a1a1,O1a1a1a1a1a,O1a1a1a1a1a1,O1a1a1a1a1a1a,O1a1a1a1a1a1a7,O1a1a1a1a1a1a7,O1a1a1a1a1a1a7,O1a1a1a1a1a1a7,O1a1a1a1a1a1a7,O1a1a1a1a1a1a7,O1a1a1a1a1a1a7,O1a1a1a1a1a1a7,O1a1a1a1a1a1a7,O1a1a1a1a1a1a7
Han_Anhui4929,O,O1,O1a,O1a1,O1a1a,O1a1a1,O1a1a1a,O1a1a1a1,O1a1a1a1a,O1a1a1a1a1,O1a1a1a1a1a,O1a1a1a1a1a1,O1a1a1a1a1a1a,O1a1a1a1a1a1a8,O1a1a1a1a1a1a8,O1a1a1a1a1a1a8,O1a1a1a1a1a1a8,O1a1a1a1a1a1a8,O1a1a1a1a1a1a8,O1a1a1a1a1a1a8,O1a1a1a1a1a1a8,O1a1a1a1a1a1a8,O1a1a1a1a1a1a8
Han_Anhui4951,O,O1,O1a,O1a1,O1a1a,O1a1a1,O1a1a1a,O1a1a1a1,O1a1a1a1a,O1a1a1a1a1,O1a1a1a1a1a,O1a1a1a1a1a1,O1a1a1a1a1a1a,O1a1a1a1a1a1a8,O1a1a1a1a1a1a8,O1a1a1a1a1a1a8,O1a1a1a1a1a1a8,O1a1a1a1a1a1a8,O1a1a1a1a1a1a8,O1a1a1a1a1a1a8,O1a1a1a1a1a1a8,O1a1a1a1a1a1a8,O1a1a1a1a1a1a8
Han_Anhui4793,O,O1,O1a,O1a1,O1a1a,O1a1a1,O1a1a1a,O1a1a1a1,O1a1a1a1a,O1a1a1a1a1,O1a1a1a1a1a,O1a1a1a1a1a1,O1a1a1a1a1a1b,O1a1a1a1a1a1b,O1a1a1a1a1a1b,O1a1a1a1a1a1b,O1a1a1a1a1a1b,O1a1a1a1a1a1b,O1a1a1a1a1a1b,O1a1a1a1a1a1b,O1a1a1a1a1a1b,O1a1a1a1a1a1b,O1a1a1a1a1a1b
Han_Anhui4810,O,O1,O1a,O1a1,O1a1a,O1a1a1,O1a1a1a,O1a1a1a1,O1a1a1a1a,O1a1a1a1a1,O1a1a1a1a1a,O1a1a1a1a1a1,O1a1a1a1a1a1b,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1
Han_Anhui4821,O,O1,O1a,O1a1,O1a1a,O1a1a1,O1a1a1a,O1a1a1a1,O1a1a1a1a,O1a1a1a1a1,O1a1a1a1a1a,O1a1a1a1a1a1,O1a1a1a1a1a1b,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1
Han_Anhui4867,O,O1,O1a,O1a1,O1a1a,O1a1a1,O1a1a1a,O1a1a1a1,O1a1a1a1a,O1a1a1a1a1,O1a1a1a1a1a,O1a1a1a1a1a1,O1a1a1a1a1a1b,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1
Han_Anhui4982,O,O1,O1a,O1a1,O1a1a,O1a1a1,O1a1a1a,O1a1a1a1,O1a1a1a1a,O1a1a1a1a1,O1a1a1a1a1a,O1a1a1a1a1a1,O1a1a1a1a1a1b,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1,O1a1a1a1a1a1b1
Han_Anhui4835,O,O1,O1a,O1a1,O1a1a,O1a1a1,O1a1a1a,O1a1a1a1,O1a1a1a1a,O1a1a1a1a1,O1a1a1a1a1a,O1a1a1a1a1a1,O1a1a1a1a1a1d,O1a1a1a1a1a1d,O1a1a1a1a1a1d,O1a1a1a1a1a1d,O1a1a1a1a1a1d,O1a1a1a1a1a1d,O1a1a1a1a1a1d,O1a1a1a1a1a1d,O1a1a1a1a1a1d,O1a1a1a1a1a1d,O1a1a1a1a1a1d
