sample_id,population
Han_Beijing4753,Han_noNWC
Han_Beijing4750,Han_noNWC
Han_Beijing4682,Han_noNWC
Han_Beijing4747,Han_noNWC
Han_Beijing4670,Han_noNWC
Han_Beijing4727,Han_noNWC
Han_Beijing4755,Han_noNWC
Han_Beijing4759,Han_noNWC
Han_Beijing4706,Han_noNWC
Han_Beijing4725,Han_noNWC
Han_Beijing4693,Han_noNWC
Han_Beijing4749,Han_noNWC
Han_Beijing4746,Han_noNWC
Han_Beijing4756,Han_noNWC
Han_Beijing4697,Han_noNWC
Han_Beijing4758,Han_noNWC
Han_Beijing4734,Han_noNWC
Han_Beijing4707,Han_noNWC
Han_Beijing4781,Han_noNWC
Han_Beijing4705,Han_noNWC
Han_Beijing4780,Han_noNWC
Han_Beijing4708,Han_noNWC
Han_Beijing4712,Han_noNWC
Han_Beijing4769,Han_noNWC
Han_Beijing4779,Han_noNWC
Han_Beijing4723,Han_noNWC
Han_Beijing4657,Han_noNWC
Han_Beijing4732,Han_noNWC
Han_Beijing4740,Han_noNWC
Han_Beijing4757,Han_noNWC
Han_Beijing4766,Han_noNWC
Han_Beijing4739,Han_noNWC
Han_Beijing4737,Han_noNWC
Han_Beijing4659,Han_noNWC
Han_Beijing4676,Han_noNWC
Han_Beijing4654,Han_noNWC
Han_Beijing4754,Han_noNWC
Han_Beijing4663,Han_noNWC
Han_Beijing4686,Han_noNWC
Han_Beijing4760,Han_noNWC
Han_Beijing4711,Han_noNWC
Han_Beijing4748,Han_noNWC
Han_Beijing4721,Han_noNWC
Han_Beijing4735,Han_noNWC
Han_Beijing4653,Han_noNWC
Han_Beijing4784,Han_noNWC
Han_Beijing4656,Han_noNWC
Han_Beijing4763,Han_noNWC
Han_Beijing4671,Han_noNWC
Han_Beijing4658,Han_noNWC
Han_Beijing4661,Han_noNWC
Han_Beijing4782,Han_noNWC
Han_Beijing4677,Han_noNWC
Han_Beijing4738,Han_noNWC
Han_Beijing4776,Han_noNWC
Han_Beijing4778,Han_noNWC
Han_Beijing4771,Han_noNWC
Han_Beijing4761,Han_noNWC
Han_Beijing4774,Han_noNWC
Han_Beijing4665,Han_noNWC
Han_Beijing4772,Han_noNWC
Han_Beijing4724,Han_noNWC
Han_Beijing4685,Han_noNWC
Han_Beijing4764,Han_noNWC
Han_Beijing4666,Han_noNWC
Han_Beijing4745,Han_noNWC
Han_Beijing4695,Han_noNWC
Han_Beijing4691,Han_noNWC
Han_Beijing4664,Han_noNWC
Han_Beijing4694,Han_noNWC
Han_Beijing4730,Han_noNWC
Han_Beijing4701,Han_noNWC
Han_Beijing4703,Han_noNWC
Han_Beijing4775,Han_noNWC
Han_Beijing4743,Han_noNWC
Han_Beijing4710,Han_noNWC
Han_Beijing4733,Han_noNWC
Han_Beijing4687,Han_noNWC
Han_Beijing4684,Han_noNWC
Han_Beijing4751,Han_noNWC
Han_Beijing4722,Han_noNWC
Han_Beijing4655,Han_noNWC
Han_Beijing4762,Han_noNWC
Han_Beijing4715,Han_noNWC
Han_Beijing4700,Han_noNWC
Han_Beijing4662,Han_noNWC
Han_Beijing4744,Han_noNWC
Han_Beijing4680,Han_noNWC
Han_Beijing4689,Han_noNWC
Han_Beijing4741,Han_noNWC
Han_Beijing4736,Han_noNWC
Han_Beijing4767,Han_noNWC
Han_Beijing4783,Han_noNWC
Han_Beijing4719,Han_noNWC
Han_Beijing4716,Han_noNWC
Han_Beijing4770,Han_noNWC
Han_Beijing4678,Han_noNWC
Han_Beijing4765,Han_noNWC
Han_Beijing4683,Han_noNWC
Han_Beijing4702,Han_noNWC
Han_Beijing4652,Han_noNWC
Han_Beijing4688,Han_noNWC
Han_Beijing4717,Han_noNWC
Han_Beijing4777,Han_noNWC
Han_Beijing4718,Han_noNWC
Han_Beijing4752,Han_noNWC
Han_Beijing4709,Han_noNWC
Han_Beijing4731,Han_noNWC
Han_Beijing4681,Han_noNWC
Han_Beijing4660,Han_noNWC
Han_Beijing4704,Han_noNWC
Han_Beijing4690,Han_noNWC
Han_Beijing4679,Han_noNWC
Han_Beijing4726,Han_noNWC
Han_Beijing4720,Han_noNWC
Han_Beijing4672,Han_noNWC
Han_Beijing4699,Han_noNWC
Han_Beijing4728,Han_noNWC
Han_Beijing4675,Han_noNWC
Han_Beijing4768,Han_noNWC
Han_Beijing4668,Han_noNWC
Han_Beijing4714,Han_noNWC
Han_Beijing4692,Han_noNWC
Han_Beijing4713,Han_noNWC
Han_Beijing4669,Han_noNWC
Han_Beijing4773,Han_noNWC
Han_Beijing4674,Han_noNWC
Han_Beijing4673,Han_noNWC
Han_Beijing4667,Han_noNWC
Han_Beijing4698,Han_noNWC
Han_Beijing4742,Han_noNWC
Han_Beijing4729,Han_noNWC
Han_Chongqing33,Han_noNWC
Han_Chongqing84,Han_noNWC
Han_Chongqing15,Han_noNWC
Han_Chongqing89,Han_noNWC
Han_Chongqing88,Han_noNWC
Han_Chongqing7,Han_noNWC
Han_Chongqing58,Han_noNWC
Han_Chongqing37,Han_noNWC
Han_Chongqing53,Han_noNWC
Han_Chongqing85,Han_noNWC
Han_Chongqing67,Han_noNWC
Han_Chongqing6,Han_noNWC
Han_Chongqing14,Han_noNWC
Han_Chongqing36,Han_noNWC
Han_Chongqing55,Han_noNWC
Han_Chongqing73,Han_noNWC
Han_Chongqing49,Han_noNWC
Han_Chongqing93,Han_noNWC
Han_Chongqing29,Han_noNWC
Han_Chongqing20,Han_noNWC
Han_Chongqing77,Han_noNWC
Han_Chongqing74,Han_noNWC
Han_Chongqing82,Han_noNWC
Han_Chongqing62,Han_noNWC
Han_Chongqing63,Han_noNWC
Han_Chongqing4,Han_noNWC
Han_Chongqing39,Han_noNWC
Han_Chongqing32,Han_noNWC
Han_Chongqing26,Han_noNWC
Han_Chongqing80,Han_noNWC
Han_Chongqing21,Han_noNWC
Han_Chongqing18,Han_noNWC
Han_Chongqing48,Han_noNWC
Han_Chongqing72,Han_noNWC
Han_Chongqing43,Han_noNWC
Han_Chongqing52,Han_noNWC
Han_Chongqing46,Han_noNWC
Han_Chongqing3,Han_noNWC
Han_Chongqing51,Han_noNWC
Han_Chongqing97,Han_noNWC
Han_Chongqing70,Han_noNWC
Han_Chongqing12,Han_noNWC
Han_Chongqing44,Han_noNWC
Han_Chongqing92,Han_noNWC
Han_Chongqing47,Han_noNWC
Han_Chongqing71,Han_noNWC
Han_Chongqing31,Han_noNWC
Han_Chongqing8,Han_noNWC
Han_Chongqing90,Han_noNWC
Han_Chongqing24,Han_noNWC
Han_Chongqing27,Han_noNWC
Han_Chongqing60,Han_noNWC
Han_Chongqing64,Han_noNWC
Han_Chongqing25,Han_noNWC
Han_Chongqing95,Han_noNWC
Han_Chongqing75,Han_noNWC
Han_Chongqing45,Han_noNWC
Han_Chongqing91,Han_noNWC
Han_Chongqing16,Han_noNWC
Han_Chongqing69,Han_noNWC
Han_Chongqing78,Han_noNWC
Han_Chongqing5,Han_noNWC
Han_Chongqing87,Han_noNWC
Han_Chongqing35,Han_noNWC
Han_Chongqing65,Han_noNWC
Han_Chongqing34,Han_noNWC
Han_Chongqing56,Han_noNWC
Han_Chongqing10,Han_noNWC
Han_Chongqing94,Han_noNWC
Han_Chongqing9,Han_noNWC
Han_Chongqing22,Han_noNWC
Han_Chongqing83,Han_noNWC
Han_Chongqing23,Han_noNWC
Han_Chongqing19,Han_noNWC
Han_Chongqing42,Han_noNWC
Han_Chongqing30,Han_noNWC
Han_Chongqing76,Han_noNWC
Han_Chongqing11,Han_noNWC
Han_Chongqing54,Han_noNWC
Han_Chongqing66,Han_noNWC
Han_Chongqing38,Han_noNWC
Han_Chongqing50,Han_noNWC
Han_Chongqing79,Han_noNWC
Han_Chongqing41,Han_noNWC
Han_Chongqing59,Han_noNWC
Han_Chongqing61,Han_noNWC
Han_Chongqing17,Han_noNWC
Han_Chongqing98,Han_noNWC
Han_Chongqing1,Han_noNWC
Han_Chongqing40,Han_noNWC
Han_Chongqing57,Han_noNWC
Han_Chongqing81,Han_noNWC
Han_Chongqing86,Han_noNWC
Han_Chongqing28,Han_noNWC
Han_Chongqing68,Han_noNWC
Han_Chongqing96,Han_noNWC
Han_Chongqing2,Han_noNWC
Han_Chongqing99,Han_noNWC
Han_Chongqing13,Han_noNWC
Han_Fujian4551,Han_noNWC
Han_Fujian4634,Han_noNWC
Han_Fujian4519,Han_noNWC
Han_Fujian4547,Han_noNWC
Han_Fujian4516,Han_noNWC
Han_Fujian4548,Han_noNWC
Han_Fujian4521,Han_noNWC
Han_Fujian4576,Han_noNWC
Han_Fujian4600,Han_noNWC
Han_Fujian4612,Han_noNWC
Han_Fujian4527,Han_noNWC
Han_Fujian4532,Han_noNWC
Han_Fujian4562,Han_noNWC
Han_Fujian4591,Han_noNWC
Han_Fujian4611,Han_noNWC
Han_Fujian4632,Han_noNWC
Han_Fujian4645,Han_noNWC
Han_Fujian4518,Han_noNWC
Han_Fujian4540,Han_noNWC
Han_Fujian4539,Han_noNWC
Han_Fujian4570,Han_noNWC
Han_Fujian4609,Han_noNWC
Han_Fujian4513,Han_noNWC
Han_Fujian4515,Han_noNWC
Han_Fujian4567,Han_noNWC
Han_Fujian4639,Han_noNWC
Han_Fujian4604,Han_noNWC
Han_Fujian4550,Han_noNWC
Han_Fujian4561,Han_noNWC
Han_Fujian4525,Han_noNWC
Han_Fujian4647,Han_noNWC
Han_Fujian4616,Han_noNWC
Han_Fujian4590,Han_noNWC
Han_Fujian4636,Han_noNWC
Han_Fujian4541,Han_noNWC
Han_Fujian4625,Han_noNWC
Han_Fujian4621,Han_noNWC
Han_Fujian4581,Han_noNWC
Han_Fujian4598,Han_noNWC
Han_Fujian4536,Han_noNWC
Han_Fujian4538,Han_noNWC
Han_Fujian4545,Han_noNWC
Han_Fujian4568,Han_noNWC
Han_Fujian4613,Han_noNWC
Han_Fujian4627,Han_noNWC
Han_Fujian4556,Han_noNWC
Han_Fujian4552,Han_noNWC
Han_Fujian4642,Han_noNWC
Han_Fujian4534,Han_noNWC
Han_Fujian4549,Han_noNWC
Han_Fujian4650,Han_noNWC
Han_Fujian4553,Han_noNWC
Han_Fujian4643,Han_noNWC
Han_Fujian4592,Han_noNWC
Han_Fujian4635,Han_noNWC
Han_Fujian4630,Han_noNWC
Han_Fujian4644,Han_noNWC
Han_Fujian4628,Han_noNWC
Han_Fujian4571,Han_noNWC
Han_Fujian4557,Han_noNWC
Han_Fujian4577,Han_noNWC
Han_Fujian4543,Han_noNWC
Han_Fujian4522,Han_noNWC
Han_Fujian4528,Han_noNWC
Han_Fujian4566,Han_noNWC
Han_Fujian4606,Han_noNWC
Han_Fujian4524,Han_noNWC
Han_Fujian4626,Han_noNWC
Han_Fujian4588,Han_noNWC
Han_Fujian4649,Han_noNWC
Han_Fujian4610,Han_noNWC
Han_Fujian4593,Han_noNWC
Han_Fujian4544,Han_noNWC
Han_Fujian4546,Han_noNWC
Han_Fujian4584,Han_noNWC
Han_Fujian4523,Han_noNWC
Han_Fujian4623,Han_noNWC
Han_Fujian4575,Han_noNWC
Han_Fujian4607,Han_noNWC
Han_Fujian4520,Han_noNWC
Han_Fujian4579,Han_noNWC
Han_Fujian4514,Han_noNWC
Han_Fujian4638,Han_noNWC
Han_Fujian4587,Han_noNWC
Han_Fujian4629,Han_noNWC
Han_Fujian4640,Han_noNWC
Han_Fujian4589,Han_noNWC
Han_Fujian4529,Han_noNWC
Han_Fujian4569,Han_noNWC
Han_Fujian4618,Han_noNWC
Han_Fujian4608,Han_noNWC
Han_Fujian4530,Han_noNWC
Han_Fujian4531,Han_noNWC
Han_Fujian4537,Han_noNWC
Han_Fujian4542,Han_noNWC
Han_Fujian4564,Han_noNWC
Han_Fujian4594,Han_noNWC
Han_Fujian4641,Han_noNWC
Han_Fujian4517,Han_noNWC
Han_Fujian4533,Han_noNWC
Han_Fujian4563,Han_noNWC
Han_Fujian4565,Han_noNWC
Han_Fujian4573,Han_noNWC
Han_Fujian4619,Han_noNWC
Han_Fujian4526,Han_noNWC
Han_Fujian4583,Han_noNWC
Han_Fujian4574,Han_noNWC
Han_Fujian4614,Han_noNWC
Han_Fujian4595,Han_noNWC
Han_Fujian4512,Han_noNWC
Han_Fujian4582,Han_noNWC
Han_Fujian4535,Han_noNWC
Han_Fujian4599,Han_noNWC
Han_Fujian4631,Han_noNWC
Han_Fujian4555,Han_noNWC
Han_Fujian4572,Han_noNWC
Han_Fujian4622,Han_noNWC
Han_Fujian4558,Han_noNWC
Han_Fujian4578,Han_noNWC
Han_Fujian4602,Han_noNWC
Han_Fujian4603,Han_noNWC
Han_Fujian4651,Han_noNWC
Han_Fujian4615,Han_noNWC
Han_Fujian4624,Han_noNWC
Han_Fujian4511,Han_noNWC
Han_Fujian4560,Han_noNWC
Han_Fujian4554,Han_noNWC
Han_Fujian4597,Han_noNWC
Han_Fujian4559,Han_noNWC
Han_Fujian4633,Han_noNWC
Han_Fujian4648,Han_noNWC
Han_Fujian4586,Han_noNWC
Han_Fujian4620,Han_noNWC
Han_Fujian4580,Han_noNWC
Han_Fujian4510,Han_noNWC
Han_Fujian4596,Han_noNWC
Han_Fujian4585,Han_noNWC
Han_Fujian4605,Han_noNWC
Han_Fujian4637,Han_noNWC
Han_Fujian4617,Han_noNWC
Han_Fujian4646,Han_noNWC
Han_Fujian4601,Han_noNWC
Han_Guangdong4139,Han_noNWC
Han_Guangdong4106,Han_noNWC
Han_Guangdong4189,Han_noNWC
Han_Guangdong4283,Han_noNWC
Han_Guangdong4310,Han_noNWC
Han_Guangdong4343,Han_noNWC
Han_Guangdong4391,Han_noNWC
Han_Guangdong4070,Han_noNWC
Han_Guangdong4116,Han_noNWC
Han_Guangdong4374,Han_noNWC
Han_Guangdong4237,Han_noNWC
Han_Guangdong4360,Han_noNWC
Han_Guangdong4276,Han_noNWC
Han_Guangdong4130,Han_noNWC
Han_Guangdong4301,Han_noNWC
Han_Guangdong4321,Han_noNWC
Han_Guangdong4421,Han_noNWC
Han_Guangdong4228,Han_noNWC
Han_Guangdong4128,Han_noNWC
Han_Guangdong4225,Han_noNWC
Han_Guangdong4358,Han_noNWC
Han_Guangdong4327,Han_noNWC
Han_Guangdong4398,Han_noNWC
Han_Guangdong4184,Han_noNWC
Han_Guangdong4269,Han_noNWC
Han_Guangdong4088,Han_noNWC
Han_Guangdong4433,Han_noNWC
Han_Guangdong4123,Han_noNWC
Han_Guangdong4249,Han_noNWC
Han_Guangdong4060,Han_noNWC
Han_Guangdong4115,Han_noNWC
Han_Guangdong4110,Han_noNWC
Han_Guangdong4144,Han_noNWC
Han_Guangdong4245,Han_noNWC
Han_Guangdong4256,Han_noNWC
Han_Guangdong4263,Han_noNWC
Han_Guangdong4313,Han_noNWC
Han_Guangdong4114,Han_noNWC
Han_Guangdong4355,Han_noNWC
Han_Guangdong4079,Han_noNWC
Han_Guangdong4089,Han_noNWC
Han_Guangdong4164,Han_noNWC
Han_Guangdong4278,Han_noNWC
Han_Guangdong4397,Han_noNWC
Han_Guangdong4191,Han_noNWC
Han_Guangdong4068,Han_noNWC
Han_Guangdong4241,Han_noNWC
Han_Guangdong4288,Han_noNWC
Han_Guangdong4402,Han_noNWC
Han_Guangdong4138,Han_noNWC
Han_Guangdong4152,Han_noNWC
Han_Guangdong4227,Han_noNWC
Han_Guangdong4299,Han_noNWC
Han_Guangdong4371,Han_noNWC
Han_Guangdong4099,Han_noNWC
Han_Guangdong4369,Han_noNWC
Han_Guangdong4431,Han_noNWC
Han_Guangdong4326,Han_noNWC
Han_Guangdong4395,Han_noNWC
Han_Guangdong4408,Han_noNWC
Han_Guangdong4440,Han_noNWC
Han_Guangdong4073,Han_noNWC
Han_Guangdong4336,Han_noNWC
Han_Guangdong4279,Han_noNWC
Han_Guangdong4426,Han_noNWC
Han_Guangdong4316,Han_noNWC
Han_Guangdong4113,Han_noNWC
Han_Guangdong4172,Han_noNWC
Han_Guangdong4352,Han_noNWC
Han_Guangdong4082,Han_noNWC
Han_Guangdong4136,Han_noNWC
Han_Guangdong503,Han_noNWC
Han_Guangdong4179,Han_noNWC
Han_Guangdong4195,Han_noNWC
Han_Guangdong4286,Han_noNWC
Han_Guangdong4312,Han_noNWC
Han_Guangdong4109,Han_noNWC
Han_Guangdong4121,Han_noNWC
Han_Guangdong4333,Han_noNWC
Han_Guangdong4361,Han_noNWC
Han_Guangdong4425,Han_noNWC
Han_Guangdong4219,Han_noNWC
Han_Guangdong4289,Han_noNWC
Han_Guangdong4268,Han_noNWC
Han_Guangdong4311,Han_noNWC
Han_Guangdong4367,Han_noNWC
Han_Guangdong4119,Han_noNWC
Han_Guangdong4166,Han_noNWC
Han_Guangdong4205,Han_noNWC
Han_Guangdong4216,Han_noNWC
Han_Guangdong4262,Han_noNWC
Han_Guangdong4282,Han_noNWC
Han_Guangdong4314,Han_noNWC
Han_Guangdong4340,Han_noNWC
Han_Guangdong4372,Han_noNWC
Han_Guangdong4215,Han_noNWC
Han_Guangdong4111,Han_noNWC
Han_Guangdong4317,Han_noNWC
Han_Guangdong4412,Han_noNWC
Han_Guangdong4418,Han_noNWC
Han_Guangdong4149,Han_noNWC
Han_Guangdong4208,Han_noNWC
Han_Guangdong4253,Han_noNWC
Han_Guangdong4267,Han_noNWC
Han_Guangdong4151,Han_noNWC
Han_Guangdong4422,Han_noNWC
Han_Guangdong4077,Han_noNWC
Han_Guangdong4069,Han_noNWC
Han_Guangdong4101,Han_noNWC
Han_Guangdong4304,Han_noNWC
Han_Guangdong4353,Han_noNWC
Han_Guangdong4435,Han_noNWC
Han_Guangdong4210,Han_noNWC
Han_Guangdong4156,Han_noNWC
Han_Guangdong4387,Han_noNWC
Han_Guangdong4443,Han_noNWC
Han_Guangdong4280,Han_noNWC
Han_Guangdong4296,Han_noNWC
Han_Guangdong4439,Han_noNWC
Han_Guangdong4081,Han_noNWC
Han_Guangdong4091,Han_noNWC
Han_Guangdong4093,Han_noNWC
Han_Guangdong4145,Han_noNWC
Han_Guangdong4194,Han_noNWC
Han_Guangdong4261,Han_noNWC
Han_Guangdong4271,Han_noNWC
Han_Guangdong4423,Han_noNWC
Han_Guangdong4094,Han_noNWC
Han_Guangdong4137,Han_noNWC
Han_Guangdong4330,Han_noNWC
Han_Guangdong4416,Han_noNWC
Han_Guangdong4075,Han_noNWC
Han_Guangdong4098,Han_noNWC
Han_Guangdong4133,Han_noNWC
Han_Guangdong4342,Han_noNWC
Han_Guangdong4132,Han_noNWC
Han_Guangdong4202,Han_noNWC
Han_Guangdong4080,Han_noNWC
Han_Guangdong4085,Han_noNWC
Han_Guangdong4217,Han_noNWC
Han_Guangdong4334,Han_noNWC
