"population","hap","count","freq","class"
"Han_NWCM","C1b1a2",16,0.00146748601302394,"Very rare"
"Han_NWCM","C2a",6,0.000550307254883977,"Very rare"
"Han_NWCM","C2a1a",12,0.00110061450976795,"Very rare"
"Han_NWCM","C2a1a1",139,0.0127487847381455,"Rare"
"Han_NWCM","C2a1a2",62,0.00568650830046776,"Very rare"
"Han_NWCM","C2a1a3",31,0.00284325415023388,"Very rare"
"Han_NWCM","C2a1a4",3,0.000275153627441988,"Very rare"
"Han_NWCM","C2a1b",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","C2b1",5,0.000458589379069981,"Very rare"
"Han_NWCM","C2b1a1",279,0.0255892873521049,"Rare"
"Han_NWCM","C2b1a2",414,0.0379712005869944,"Rare"
"Han_NWCM","C2b1b",6,0.000550307254883977,"Very rare"
"Han_NWCM","C2b1b1",236,0.0216454186921031,"Rare"
"Han_NWCM","C2b1b2",25,0.0022929468953499,"Very rare"
"Han_NWCM","C2b2",3,0.000275153627441988,"Very rare"
"Han_NWCM","D1a1a1",370,0.0339356140511786,"Rare"
"Han_NWCM","D1a1b1",154,0.0141245528753554,"Rare"
"Han_NWCM","D1a2a1",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","E1b1a1",3,0.000275153627441988,"Very rare"
"Han_NWCM","E1b1b1",30,0.00275153627441988,"Very rare"
"Han_NWCM","F2",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","G1",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","G1a1a1",2,0.000183435751627992,"Doubleton"
"Han_NWCM","G2a",4,0.000366871503255985,"Very rare"
"Han_NWCM","G2a2b",3,0.000275153627441988,"Very rare"
"Han_NWCM","G2a2b2",9,0.000825460882325965,"Very rare"
"Han_NWCM","G2b",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","H1a1",2,0.000183435751627992,"Doubleton"
"Han_NWCM","H1a1b1",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","H1a2b1",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","I1",2,0.000183435751627992,"Doubleton"
"Han_NWCM","I2a1b1",3,0.000275153627441988,"Very rare"
"Han_NWCM","J",51,0.0046776116665138,"Very rare"
"Han_NWCM","J1",4,0.000366871503255985,"Very rare"
"Han_NWCM","J1a2a1",10,0.000917178758139961,"Very rare"
"Han_NWCM","J1a3",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","J1a3a",4,0.000366871503255985,"Very rare"
"Han_NWCM","J2",9,0.000825460882325965,"Very rare"
"Han_NWCM","J2a1a1",52,0.0047693295423278,"Very rare"
"Han_NWCM","J2a2a",5,0.000458589379069981,"Very rare"
"Han_NWCM","J2b",2,0.000183435751627992,"Doubleton"
"Han_NWCM","J2b2a",6,0.000550307254883977,"Very rare"
"Han_NWCM","J2b2a1",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","J2b2a2",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","J2b2b2",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","L1",3,0.000275153627441988,"Very rare"
"Han_NWCM","L1a1",5,0.000458589379069981,"Very rare"
"Han_NWCM","L1a1b",3,0.000275153627441988,"Very rare"
"Han_NWCM","L1a2",7,0.000642025130697973,"Very rare"
"Han_NWCM","N1a1a1",116,0.0106392735944236,"Rare"
"Han_NWCM","N1a1a3",67,0.00614509767953774,"Very rare"
"Han_NWCM","N1a2",17,0.00155920388883793,"Very rare"
"Han_NWCM","N1a2a",15,0.00137576813720994,"Very rare"
"Han_NWCM","N1a2a1",153,0.0140328349995414,"Rare"
"Han_NWCM","N1a2b3",10,0.000917178758139961,"Very rare"
"Han_NWCM","N1a3",49,0.00449417591488581,"Very rare"
"Han_NWCM","N1b1",35,0.00321012565348987,"Very rare"
"Han_NWCM","N1b1a2",54,0.00495276529395579,"Very rare"
"Han_NWCM","N1b1b",25,0.0022929468953499,"Very rare"
"Han_NWCM","N1b1b1",5,0.000458589379069981,"Very rare"
"Han_NWCM","N1b2",131,0.0120150417316335,"Rare"
"Han_NWCM","N1b2a",38,0.00348527928093185,"Very rare"
"Han_NWCM","N1b2a1",129,0.0118316059800055,"Rare"
"Han_NWCM","N2",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","O1",2,0.000183435751627992,"Doubleton"
"Han_NWCM","O1a",1,9.17178758139961e-05,"Singleton"
"Han_NWCM","O1a1a1",393,0.0360451251949005,"Rare"
"Han_NWCM","O1a1a2",139,0.0127487847381455,"Rare"
"Han_NWCM","O1a1b",5,0.000458589379069981,"Very rare"
"Han_NWCM","O1a1b1",9,0.000825460882325965,"Very rare"
"Han_NWCM","O1a2a2",9,0.000825460882325965,"Very rare"
"Han_NWCM","O1a3",2,0.000183435751627992,"Doubleton"
"Han_NWCM","O1a3a1",34,0.00311840777767587,"Very rare"
"Han_NWCM","O1b",4,0.000366871503255985,"Very rare"
