ID	Group_big	Group_small	Note
Mongolian_Tianjin9368	All	Mongolian_Tianjin	All Populations
Mongolian_Tianjin9369	All	Mongolian_Tianjin	All Populations
Mongolian_Tianjin9361	All	Mongolian_Tianjin	All Populations
Mongolian_Taiwan9360	All	Mongolian_Taiwan	All Populations
Mongolian_Liangshan9353	All	Mongolian_Sichuan	All Populations
Mongolian_Suining9342	All	Mongolian_Sichuan	All Populations
Mongolian_Yibin9341	All	Mongolian_Sichuan	All Populations
Mongolian_Chengdu9338	All	Mongolian_Sichuan	All Populations
Mongolian_Chengdu9351	All	Mongolian_Sichuan	All Populations
Mongolian_Liangshan9347	All	Mongolian_Sichuan	All Populations
Mongolian_Liangshan9348	All	Mongolian_Sichuan	All Populations
Mongolian_Luzhou9352	All	Mongolian_Sichuan	All Populations
Mongolian_Neijiang9357	All	Mongolian_Sichuan	All Populations
Mongolian_Ganzi9336	All	Mongolian_Sichuan	All Populations
Mongolian_Liangshan9345	All	Mongolian_Sichuan	All Populations
Mongolian_Liangshan9356	All	Mongolian_Sichuan	All Populations
Mongolian_Suining9337	All	Mongolian_Sichuan	All Populations
Mongolian_Chengdu9339	All	Mongolian_Sichuan	All Populations
Mongolian_Liangshan9343	All	Mongolian_Sichuan	All Populations
Mongolian_Liangshan9344	All	Mongolian_Sichuan	All Populations
Mongolian_Liangshan9358	All	Mongolian_Sichuan	All Populations
Mongolian_Luzhou9346	All	Mongolian_Sichuan	All Populations
Mongolian_Deyang9354	All	Mongolian_Sichuan	All Populations
Mongolian_Nanchong9350	All	Mongolian_Sichuan	All Populations
Mongolian_Leshan9355	All	Mongolian_Sichuan	All Populations
Mongolian_Chengdu9340	All	Mongolian_Sichuan	All Populations
Mongolian_Bazhong9335	All	Mongolian_Sichuan	All Populations
Mongolian_Dazhou9349	All	Mongolian_Sichuan	All Populations
Mongolian_Liangshan9334	All	Mongolian_Sichuan	All Populations
Mongolian_Datong9326	All	Mongolian_Shanxi	All Populations
Mongolian_Datong9316	All	Mongolian_Shanxi	All Populations
Mongolian_Shuozhou9319	All	Mongolian_Shanxi	All Populations
Mongolian_Xinzhou9308	All	Mongolian_Shanxi	All Populations
Mongolian_Xinzhou9311	All	Mongolian_Shanxi	All Populations
Mongolian_Xinzhou9327	All	Mongolian_Shanxi	All Populations
Mongolian_Datong9309	All	Mongolian_Shanxi	All Populations
Mongolian_Datong9321	All	Mongolian_Shanxi	All Populations
Mongolian_Datong9315	All	Mongolian_Shanxi	All Populations
Mongolian_Datong9323	All	Mongolian_Shanxi	All Populations
Mongolian_Datong9329	All	Mongolian_Shanxi	All Populations
Mongolian_Jinzhong9318	All	Mongolian_Shanxi	All Populations
Mongolian_Jinzhong9324	All	Mongolian_Shanxi	All Populations
Mongolian_Datong9333	All	Mongolian_Shanxi	All Populations
Mongolian_Taiyuan9310	All	Mongolian_Shanxi	All Populations
Mongolian_Linfen9312	All	Mongolian_Shanxi	All Populations
Mongolian_Shuozhou9330	All	Mongolian_Shanxi	All Populations
Mongolian_Taiyuan9332	All	Mongolian_Shanxi	All Populations
Mongolian_Xinzhou9325	All	Mongolian_Shanxi	All Populations
Mongolian_Datong9307	All	Mongolian_Shanxi	All Populations
Mongolian_Datong9331	All	Mongolian_Shanxi	All Populations
Mongolian_Lvliang9328	All	Mongolian_Shanxi	All Populations
Mongolian_Xinzhou9320	All	Mongolian_Shanxi	All Populations
Mongolian_Datong9317	All	Mongolian_Shanxi	All Populations
Mongolian_Xinzhou9322	All	Mongolian_Shanxi	All Populations
Mongolian_Datong9313	All	Mongolian_Shanxi	All Populations
Mongolian_Shuozhou9314	All	Mongolian_Shanxi	All Populations
Mongolian_Shanghai9301	All	Mongolian_Shanghai	All Populations
Mongolian_Shanghai9303	All	Mongolian_Shanghai	All Populations
Mongolian_Shanghai9291	All	Mongolian_Shanghai	All Populations
Mongolian_Shanghai9297	All	Mongolian_Shanghai	All Populations
Mongolian_Shanghai9305	All	Mongolian_Shanghai	All Populations
Mongolian_Shanghai9306	All	Mongolian_Shanghai	All Populations
Mongolian_Shanghai9295	All	Mongolian_Shanghai	All Populations
Mongolian_Shanghai9296	All	Mongolian_Shanghai	All Populations
Mongolian_Shanghai9299	All	Mongolian_Shanghai	All Populations
Mongolian_Shanghai9302	All	Mongolian_Shanghai	All Populations
Mongolian_Shanghai9293	All	Mongolian_Shanghai	All Populations
Mongolian_Shanghai9292	All	Mongolian_Shanghai	All Populations
Mongolian_Shanghai9300	All	Mongolian_Shanghai	All Populations
Mongolian_Shanghai9304	All	Mongolian_Shanghai	All Populations
Mongolian_Shanghai9294	All	Mongolian_Shanghai	All Populations
Mongolian_Shanghai9298	All	Mongolian_Shanghai	All Populations
Mongolian_Jining9283	All	Mongolian_Shandong	All Populations
Mongolian_Liaocheng9241	All	Mongolian_Shandong	All Populations
Mongolian_Qingdao9272	All	Mongolian_Shandong	All Populations
Mongolian_Rizhao9250	All	Mongolian_Shandong	All Populations
Mongolian_Weihai9273	All	Mongolian_Shandong	All Populations
Mongolian_Weihai9276	All	Mongolian_Shandong	All Populations
Mongolian_Heze9264	All	Mongolian_Shandong	All Populations
Mongolian_Jinan9275	All	Mongolian_Shandong	All Populations
Mongolian_Liaocheng9240	All	Mongolian_Shandong	All Populations
Mongolian_Liaocheng9265	All	Mongolian_Shandong	All Populations
Mongolian_Qingdao9268	All	Mongolian_Shandong	All Populations
Mongolian_Qingdao9274	All	Mongolian_Shandong	All Populations
Mongolian_Weifang9255	All	Mongolian_Shandong	All Populations
Mongolian_Weihai9239	All	Mongolian_Shandong	All Populations
Mongolian_Yantai9254	All	Mongolian_Shandong	All Populations
Mongolian_Rizhao9269	All	Mongolian_Shandong	All Populations
Mongolian_TaiAn9261	All	Mongolian_Shandong	All Populations
Mongolian_Weihai9286	All	Mongolian_Shandong	All Populations
