group	n_samples	n_sites_used	n_variant_sites	n_segregating_sites	missing_rate_mean	heterozygous_calls_masked_global	pi	theta_w	tajima_d	haplotype_diversity
Cao	30	16569	17473	223	5.913547747129068e-05	0	0.0022476571008400448	0.0033970804660481244	-1.3111727116595024	0.9931034482758619
Caucasian	147	16569	17473	830	5.722788142382969e-05	0	0.0021340436539196	0.009002217324541916	-2.5130700936464665	0.9990681203988445
Central_Thai	210	16569	17473	994	5.722788142382969e-05	0	0.002498771755195857	0.010129776122706512	-2.4179577669170933	0.999544315333789
Chadian	60	16569	17474	500	0.0	0	0.0031737978580853696	0.006470876403705584	-1.8187508993999153	1.0
Cham	89	16569	17473	587	5.722788142382969e-05	0	0.002594696841270791	0.007000771301097075	-2.160683676083175	0.995403472931563
Chukchi	55	16569	17474	138	4.578230513906375e-05	0	0.001864958171536325	0.0018202231150841917	0.08709271331287685	0.9898989898989898
Churu	44	16569	17473	251	0.00010014879249170196	0	0.0025323408539082706	0.003482267213186625	-1.0035774039588685	0.9809725158562368
Coho	46	16569	17473	190	5.722788142382969e-05	0	0.0025160423208230925	0.0026090195906247823	-0.12986883388238266	0.9806763285024155
Czech	78	16569	17474	514	4.768990118652474e-05	0	0.0021660295045931735	0.006295263748627637	-2.2786950628529032	1.0
Dai	122	16569	17474	580	1.1257943886655021e-05	0	0.0024704674457743003	0.006509606351162829	-2.0708304110582283	0.9979677550467416
Dane	285	16569	17473	852	5.722788142382969e-05	0	0.0018458296071253298	0.008256044186004593	-2.4389483538683314	0.9996293550778355
Deng	91	16569	17474	332	0.009832504681995353	0	0.0017354429698505723	0.003942141011651812	-1.9082728058625846	0.9921855921855922
Dong	49	16569	17473	341	5.722788142382969e-05	0	0.0024192869664462044	0.0046154510917810945	-1.7330633669098963	0.9940476190476191
Dongri	43	16569	17474	135	0.0	0	0.0012412190037767222	0.0018829993918538953	-1.2448924432282784	0.9867109634551495
Druze	94	16569	17474	414	3.287559145624259e-05	0	0.0017527327683819413	0.004884462203100718	-2.184010989921268	0.9965682910089223
Ede	24	16569	17473	167	5.722788142382969e-05	0	0.0019723089571689716	0.002698893487373795	-1.0781935216043776	0.9311594202898551
Ewenki	52	16569	17474	177	4.732305579278225e-05	0	0.0017854688414523695	0.0023638851424060445	-0.8773428037564076	0.9947209653092005
Finnish	246	16569	17474	668	4.815516851517376e-05	0	0.002079117117209131	0.006630002788405916	-2.174044669401931	0.9982080637132902
Foulbe	41	16569	17474	414	0.0	0	0.003486906987355933	0.005839584238158644	-1.5026839098630642	1.0
French	54	16569	17474	341	2.9673716293837617e-05	0	0.001972024745621038	0.00451607598592427	-2.028470954507343	1.0
Gallong	39	16569	17474	235	0.0	0	0.0018316763544346684	0.0033544431840023844	-1.6952156049723799	0.9946018893387315
Gelao	34	16569	17473	258	5.722788142382969e-05	0	0.002457139107357432	0.0038080401442009662	-1.351629386407305	0.9821746880570411
Gende	43	16569	17473	170	5.722788142382969e-05	0	0.002171264430039745	0.002371184419371572	-0.30933972093381484	0.9689922480620154
German	61	16569	17473	370	5.722788142382969e-05	0	0.0021114925584785195	0.004771395187131192	-1.9815806384120065	1.0
Giarai	37	16569	17473	247	5.722788142382969e-05	0	0.0025072447220908295	0.003570785980151961	-1.120896739206606	0.9669669669669668
