"hap","population","a","b","c","d","p","odds","padj"
"C","ANEA",1,398,16529,NA,0.133327805226162,8.30331307823959,0.281125294740435
"D1","ASAF",1,115,16175,NA,0.136293562121139,0.21909485200516,0.285168068438076
"L1","AESP",2,283,16611,NA,0.139651773183278,3.17232238722062,0.289963987067569
"N2","AESP",1,284,16640,NA,0.141702954407178,7.32300352445357,0.291993966657215
"Q1","ANEA",10,389,15862,NA,0.153955567485865,0.606793545744389,0.314856498918461
"Q1","AESP",16,269,15982,NA,0.169811126646242,1.42727792270848,0.344691242147595
"Q2","Han_noNWC",2,4773,12143,NA,0.179051091035349,0.339200539266401,0.360754790826777
"C1","Han_NWCM",16,10887,6015,NA,0.187477356255106,0.589318053884316,0.374954712510211
"C1","ASAF",1,115,16787,NA,0.192075596725003,4.86439308575212,0.381347170140152
"C","Han_noNWC",0,4775,12152,NA,0.194019681932512,0,0.38241560496843
"H1","AESP",1,284,16636,NA,0.198078605243458,4.88036714837694,0.387607054864896
"D1","AEES",3,164,16126,NA,0.221431550655208,0.460933501386166,0.430209869844404
"G2","ANWC",1,136,16763,NA,0.241546359451674,3.7346028128402,0.465961771424505
"O","Han_noNWC",1,4774,12158,NA,0.281993740034253,Inf,0.540157023164202
"I2","Han_noNWC",1,4774,12148,NA,0.311384031022557,0.254462186385933,0.592282912154793
"E1","ANWC",1,136,16743,NA,0.355555223889156,2.3226139087746,0.658923464265527
"O","Han_NWCM",0,10903,6029,NA,0.356109372231737,0,0.658923464265527
"Q","Han_NWCM",0,10903,6029,NA,0.356109372231737,0,0.658923464265527
"H3","Han_NWCM",0,10903,6029,NA,0.356109372231737,0,0.658923464265527
"R2","ANEA",0,399,16472,NA,0.406921088595035,0,0.747854973634119
"E1","AEES",1,166,16713,NA,0.414949257390457,1.89955189870667,0.757491261813452
"T1","Han_NWCM",4,10899,6026,NA,0.466962623806275,0.552945429742235,0.846758891168712
"H","Han_noNWC",1,4774,12157,NA,0.484478968674487,2.54634780860198,0.86696236499645
"R","Han_noNWC",1,4774,12157,NA,0.484478968674487,2.54634780860198,0.86696236499645
"D1","ANWC",3,134,16156,NA,0.496180399939418,0.565168110847458,0.882098488781187
"D1","ASEA",7,144,16146,NA,0.519969458901762,1.23406148548347,0.914494004323476
"N1","ANWC",8,129,15477,NA,0.521127098051981,0.727670576043491,0.914494004323476
"N1","Han_NWCM",844,10059,5547,NA,0.530805607503482,0.963634180491546,0.925507213082995
"C1","Han_noNWC",7,4768,12134,NA,0.555112181240858,0.742288143953994,0.956872007997271
"G2","ANEA",1,398,16501,NA,0.555830063469003,1.25633635227146,0.956872007997271
"J","AESP",1,284,16592,NA,0.62059528629058,1.04327735319256,1
"G1","Han_noNWC",2,4773,12155,NA,0.625230232240259,1.69768534684264,1
"J2","ASEA",0,151,16645,NA,0.637531875263192,0,1
"E1","ANEA",0,399,16480,NA,0.640024575685213,0,1
"J","ANEA",0,399,16477,NA,0.646277551557436,0,1
"E1","Han_NWCM",33,10870,6009,NA,0.66974416036863,0.868707772155158,1
"J2","ANEA",2,397,16399,NA,0.774539623135394,0.611972790784081,1
"C2","ANEA",42,357,14747,NA,0.934957582945936,0.970868237088463,1
"N","ASEA",0,151,16777,NA,1,0,1
"C1","AEES",0,167,16735,NA,1,0,1
"C1","ANEA",0,399,16503,NA,1,0,1
"C1","ANWC",0,137,16765,NA,1,0,1
"H","AEES",0,167,16764,NA,1,0,1
"H","ANWC",0,137,16794,NA,1,0,1
"T","AEES",0,167,16755,NA,1,0,1
"T","ANEA",0,399,16523,NA,1,0,1
"T","ASAF",0,116,16806,NA,1,0,1
"I2","AEES",0,167,16755,NA,1,0,1
"I2","ANEA",0,399,16523,NA,1,0,1
"Q2","ASEA",0,151,16765,NA,1,0,1
"R","AEES",0,167,16764,NA,1,0,1
"R","ANWC",0,137,16794,NA,1,0,1
"G1","ASEA",0,151,16777,NA,1,0,1
"J1","ANEA",0,399,16497,NA,1,0,1
"T1","AEES",0,167,16758,NA,1,0,1
"H1","ANWC",0,137,16783,NA,1,0,1
"C","ASAF",0,116,16811,NA,1,0,1
"K2","ANWC",0,137,16783,NA,1,0,1
"N","Han_noNWC",1,4774,12154,NA,1,0.636460595042614,1
"N","AESP",0,285,16643,NA,1,0,1
"N","ASAF",0,116,16812,NA,1,0,1
"G2","Han_noNWC",9,4766,12133,NA,1,0.916472186096105,1
"G2","AEES",0,167,16732,NA,1,0,1
"G2","ASEA",0,151,16748,NA,1,0,1
"C1","AESP",0,285,16617,NA,1,0,1
"F","Han_noNWC",4,4771,12148,NA,1,1.01848606348139,1
"F","AESP",0,285,16634,NA,1,0,1
"F","ANWC",0,137,16782,NA,1,0,1
"H","ANEA",0,399,16532,NA,1,0,1
"H","ASAF",0,116,16815,NA,1,0,1
"H","ASEA",0,151,16780,NA,1,0,1
"T","AESP",0,285,16637,NA,1,0,1
"T","ANWC",0,137,16785,NA,1,0,1
"T","ASEA",0,151,16771,NA,1,0,1
"I2","ASEA",0,151,16771,NA,1,0,1
"J","AEES",0,167,16709,NA,1,0,1
"J","ANWC",0,137,16739,NA,1,0,1
"J","ASEA",0,151,16725,NA,1,0,1
"Q2","AEES",0,167,16749,NA,1,0,1
"Q2","AESP",0,285,16631,NA,1,0,1
"Q2","ANEA",0,399,16517,NA,1,0,1
"R2","AEES",0,167,16704,NA,1,0,1
"R2","ANWC",0,137,16734,NA,1,0,1
"R2","ASEA",0,151,16720,NA,1,0,1
"E1","ASEA",0,151,16728,NA,1,0,1
"R","ANEA",0,399,16532,NA,1,0,1
"R","ASAF",0,116,16815,NA,1,0,1
"R","ASEA",0,151,16780,NA,1,0,1
"I1","Han_noNWC",1,4774,12156,NA,1,1.27315685878894,1
"I1","Han_NWCM",2,10901,6029,NA,1,1.10614249651701,1
"I1","AEES",0,167,16763,NA,1,0,1
"I1","AESP",0,285,16645,NA,1,0,1
"I1","ANEA",0,399,16531,NA,1,0,1
"I1","ASAF",0,116,16814,NA,1,0,1
"I1","ASEA",0,151,16779,NA,1,0,1
"L1","AEES",0,167,16727,NA,1,0,1
"L1","ANEA",0,399,16495,NA,1,0,1
"L1","ASEA",0,151,16743,NA,1,0,1
"G1","Han_NWCM",3,10900,6028,NA,1,0.829560845161633,1
"G1","AEES",0,167,16761,NA,1,0,1
"G1","AESP",0,285,16643,NA,1,0,1
"G1","ANEA",0,399,16529,NA,1,0,1
"G1","ANWC",0,137,16791,NA,1,0,1
"G1","ASAF",0,116,16812,NA,1,0,1
"O","AEES",0,167,16765,NA,1,0,1
"O","AESP",0,285,16647,NA,1,0,1
"O","ANEA",0,399,16533,NA,1,0,1
"O","ASAF",0,116,16816,NA,1,0,1
"O","ASEA",0,151,16781,NA,1,0,1
"J1","ASEA",0,151,16745,NA,1,0,1
"T1","ANEA",0,399,16526,NA,1,0,1
"T1","ANWC",0,137,16788,NA,1,0,1
"T1","ASEA",0,151,16774,NA,1,0,1
"F2","Han_noNWC",0,4775,12157,NA,1,0,1
"F2","Han_NWCM",1,10902,6030,NA,1,Inf,1
"F2","AEES",0,167,16765,NA,1,0,1
"F2","AESP",0,285,16647,NA,1,0,1
"F2","ANEA",0,399,16533,NA,1,0,1
"F2","ASAF",0,116,16816,NA,1,0,1
"F2","ASEA",0,151,16781,NA,1,0,1
"H1","AEES",0,167,16753,NA,1,0,1
"H1","ANEA",0,399,16521,NA,1,0,1
"N2","ANEA",0,399,16525,NA,1,0,1
"N2","ASAF",0,116,16808,NA,1,0,1
"N2","ASEA",0,151,16773,NA,1,0,1
"No","ANWC",0,137,16782,NA,1,0,1
"C","ANWC",0,137,16790,NA,1,0,1
"K2","AEES",0,167,16753,NA,1,0,1
"Q","Han_noNWC",0,4775,12157,NA,1,0,1
"Q","AEES",0,167,16765,NA,1,0,1
"Q","ANEA",0,399,16533,NA,1,0,1
"Q","ASAF",0,116,16816,NA,1,0,1
"Q","ASEA",0,151,16781,NA,1,0,1
"H3","Han_noNWC",0,4775,12157,NA,1,0,1
"H3","AEES",0,167,16765,NA,1,0,1
"H3","AESP",0,285,16647,NA,1,0,1
"H3","ANEA",0,399,16533,NA,1,0,1
"H3","ASEA",0,151,16781,NA,1,0,1
"I1","ANWC",0,137,16793,NA,1,0,1
"O","ANWC",0,137,16795,NA,1,0,1
"F2","ANWC",0,137,16795,NA,1,0,1
"H1","ASEA",0,151,16769,NA,1,0,1
"Q","ANWC",0,137,16795,NA,1,0,1
"H3","ANWC",0,137,16795,NA,1,0,1
