hGrp	HG00096
B4a2	2	39-10
B4a2a1	4	39-16
B4a2a2	2	39-14
B4a2a3	3	39-15
B4a2a	2	39-12
B4a2b1	1	39-12
B4a2b1a	2	39-14
B4a2b	1	39-11
B4a3	7	39-15
B4a4	3	39-11
B4a5	3	39-11
B4a	2	39-8
B4b1	1	39-11
B4b1a1	7	39-21
B4b1a1a	1	39-22
B4b1a1b	1	39-22
B4b1a1c	1	39-22
B4b1a2	1	39-15
B4b1a2a	3	40-17
B4b1a2b1	1	39-17
B4b1a2b2	2	39-18
B4b1a2b	1	39-16
B4b1a2c	2	39-17
B4b1a2d	5	39-20
B4b1a2e	2	39-17
B4b1a2f	2	39-17
B4b1a2g1	1	39-17
B4b1a2g	1	39-16
B4b1a2h	1	39-16
B4b1a2i	1	39-16
B4b1a3	4	39-18
B4b1a3a	3	39-21
B4b1a	2	39-13
B4b1a_G207A	1	39-14
B4b1b	8	40-19
B4b1b'c	1	39-12
B4b1c1	4	39-17
B4b1c2	1	39-14
B4b1c	1	39-13
B4b	3	39-10
B4b'd'e'j	2	39-7
B4c1	1	39-8
B4c1a1	2	39-12
B4c1a1a1	1	39-14
B4c1a1a1a	2	39-16
B4c1a1a2	1	39-14
B4c1a1a	1	39-13
B4c1a1b	1	39-13
B4c1a1c	3	40-14
B4c1a2	1	39-11
B4c1a2a	2	39-13
B4c1a	1	39-10
B4c1a'b	1	39-9
B4c1b1	11	40-22
B4c1b1a	3	40-25
B4c1b2	1	39-14
B4c1b2a1	2	39-18
B4c1b2a2	2	39-18
B4c1b2a2a	1	39-19
B4c1b2a2b	1	39-19
B4c1b2a	2	39-16
B4c1b2b	2	39-16
B4c1b2c1	5	39-22
B4c1b2c2	2	39-19
B4c1b2c	3	39-17
B4c1b	3	39-12
B4c1b_A16335G	1	39-13
B4c1c1	1	39-16
B4c1c	6	39-14
B4c1c_T16311C	1	39-15
B4c2	6	39-13
B4c2a	1	39-14
B4c2b	1	39-14
B4c2c	2	39-15
B4c	2	39-7
B4d1	1	39-11
B4d1'2'3	1	39-10
B4d1a	1	39-12
B4d2	5	39-15
B4d3	8	39-17
B4d3a1	1	39-19
B4d3a	1	39-18
B4d4	9	39-18
B4d	2	39-9
B4e	9	39-16
B4f1	3	40-21
B4f	14	40-18
B4g1	1	39-10
B4g1a	2	39-12
B4g1b	3	39-13
B4g2	4	39-13
B4g	3	39-9
B4h1	2	40-10
B4h	3	39-9
B4i1	2	39-9
B4i	1	39-7
B4j	11	39-18
B4k	3	39-9
B4m	2	39-8
B5	5	39-9
B5a1	1	39-14
B5a1a1	1	39-17
B5a1a	2	39-16
B5a1b1	1	39-17
B5a1b	2	39-16
B5a1c1	1	39-16
B5a1c1a1	1	39-19
B5a1c1a	2	39-18
B5a1c2	2	39-17
B5a1c	1	39-15
B5a1d	4	40-17
B5a2	3	39-15
B5a2a1	2	39-20
B5a2a1_G16129A	1	39-21
B5a2a1a	4	39-24
B5a2a1b	1	39-22
B5a2a2	1	39-19
B5a2a2a1	2	39-24
B5a2a2a2	1	39-23
B5a2a2a	3	39-22
B5a2a2b1	1	39-22
B5a2a2b1a	1	39-23
B5a2a2b2	1	39-22
B5a2a2b	2	39-21
B5a2a	3	39-18
B5a	4	39-13
B5b1	2	40-21
B5b1a1	4	41-26
B5b1a2	6	40-29
B5b1a2a	1	40-30
B5b1a	2	40-23
B5b1c1	2	41-29
B5b1c1a	1	41-30
B5b1c	7	41-27
B5b2	6	39-26
B5b2_C204T	1	40-26
B5b2a1	3	40-29
B5b2a2	2	40-28
B5b2a2a1	1	40-30
B5b2a2a2	6	41-34
B5b2a2a	1	40-29
B5b2a	1	40-26
B5b2b	1	39-27
B5b2c1	3	41-31
B5b2c	3	40-29
B5b3	6	39-26
B5b3a	3	39-29
B5b3b	1	39-27
B5b4	4	39-24
B5b5	8	40-27
B5b	11	39-20
B6	4	39-8
B6a1	4	41-14
B6a1a	3	42-16
B6a	4	39-12
C1	2	32-20
C1a	3	32-23
C1b1	1	32-22
C1b2	5	32-26
C1b3	1	32-22
C1b4	7	32-28
C1b5	2	32-23
C1b5a	1	32-24
C1b5b	2	32-25
C1b6	4	32-25
C1b7	1	32-23
C1b7a	1	32-24
C1b8	2	32-23
C1b8a	5	32-28
C1b9	2	32-23
C1b10	5	32-27
C1b11	1	32-22
C1b12	1	32-22
C1b13	2	32-23
C1b13a1	2	32-26
C1b13a	1	32-24
C1b13b	2	32-25
C1b13c1	1	32-25
C1b13c	1	32-24
C1b13d	2	32-25
C1b13e	1	32-24
C1b14	3	32-24
C1b	1	32-21
C1b_T16311C	1	32-22
C1c1	1	32-23
C1c1a	1	32-24
C1c1b	1	32-24
C1c2	4	32-26
C1c3	7	32-29
C1c4	2	32-24
C1c5	2	32-24
C1c6	2	32-25
C1c7	5	32-28
C1c8	2	32-24
C1c	2	32-22
C1c_T195C	1	32-23
C1d1	1	32-23
C1d1a1	2	33-27
C1d1a	3	33-25
C1d1b1	1	32-26
C1d1b	2	32-25
C1d1c1	2	34-25
C1d1c	2	32-25
C1d1d	1	32-24
C1d2	1	32-23
C1d2a	2	32-25
C1d3	3	32-25
C1d	1	32-21
C1d_C194T	1	32-22
C1e	11	34-29
C1f	1	32-21
C4	3	32-22
C4_T152C	1	33-22
C4_T152C_T16093C	1	33-23
C4a1	3	33-26
C4a1a1	2	34-29
C4a1a1a	3	34-32
C4a1a2	1	33-30
C4a1a2a	1	33-31
C4a1a3	1	33-30
C4a1a3a1	1	33-32
C4a1a3a	1	33-31
C4a1a3b	1	33-31
C4a1a3c	1	33-31
C4a1a3d	1	34-30
C4a1a4	1	33-30
C4a1a4a	1	33-31
C4a1a5	3	33-31
C4a1a6	1	33-29
C4a1a	2	33-28
C4a1a_T195C	1	33-29
C4a1b	2	33-28
C4a2	1	33-24
C4a2a1	1	33-28
C4a2a1a	1	33-29
C4a2a1b	2	33-30
C4a2a	3	33-27
C4a2b1	3	33-30
C4a2b2	4	33-31
C4a2b2a	4	34-34
C4a2b	3	33-27
C4a2c1	5	33-32
C4a2c2	2	33-29
C4a2c2a	1	33-30
C4a2c	3	33-27
C4a	1	33-23
C4a'b'c	1	33-22
C4b1	2	33-25
C4b1a	2	33-26
C4b1b	1	33-26
C4b2	1	33-24
C4b2a	1	33-25
C4b3	1	33-24
C4b3a1	1	33-26
C4b3a	1	33-25
C4b3b	2	33-26
C4b5	1	33-24
C4b6	1	33-24
C4b7	2	33-25
C4b8	1	33-24
C4b8a	2	33-26
C4b	1	33-23
C4c1	1	33-25
C4c1a	2	33-27
C4c1b	1	33-26
C4c2	8	34-30
C4c	2	33-24
C4d	3	33-26
C4e	3	33-25
C5	2	33-20
C5_T16093C	1	33-21
C5a1	2	34-24
C5a2	3	34-25
C5a2a	1	34-26
C5a2b1	1	34-27
C5a2b	1	34-26
C5a	3	34-22
C5b1	1	34-21
C5b1a1	1	34-24
C5b1a	2	34-23
C5b1b1	1	34-26
C5b1b	4	34-25
C5b	1	34-20
C5c1	1	33-26
C5c1a	1	33-27
C5c	3	33-24
C5c_C16234T	1	33-25
C5d1	3	33-25
C5d2	2	33-24
C5d	1	33-22
C7	2	32-21
C7_A16051G	1	32-22
C7a1	3	32-25
C7a1a1	4	33-30
C7a1a2	5	32-32
C7a1a	2	32-27
C7a1c	2	32-27
C7a1d	4	32-29
C7a2	2	33-23
C7a2a	4	33-27
C7a	1	32-22
C7b	3	32-25
C	6	32-19
CZ	1	32-13
D1	2	32-15
D1a1	5	32-21
D1a2	6	32-22
D1a	1	32-16
D1b	4	32-19
D1c	2	32-17
D1d1	1	32-18
D1d2	2	32-19
D1d	2	32-17
D1e	3	32-18
D1f1	4	32-20
D1f2	2	33-17
D1f3	2	32-19
D1f	1	32-16
D1f_T16189C	1	32-17
D1g1	5	33-21
D1g1a	1	33-22
D1g1b	1	33-22
D1g2	2	32-20
D1g2a	4	33-23
D1g3	1	32-18
D1g4	9	32-26
D1g5	7	32-25
D1g6	6	33-22
D1g	2	32-17
D1g_T16189C	1	32-18
D1h1	3	32-20
D1h2	4	32-21
D1h	2	32-17
D1i1	3	32-20
D1i2	5	32-22
D1i	2	32-17
D1j1	1	33-18
D1j1a1	1	33-22
D1j1a2	4	33-24
D1j1a	3	33-21
D1j	3	33-17
D1k	1	32-16
D1m	4	32-19
D1n	1	32-16
D2	2	32-19
D2a1	1	32-23
D2a1a	1	32-24
D2a1b	2	32-25
D2a2	1	32-23
D2a	1	32-22
D2a'b	2	32-21
D2b1	1	32-24
D2b1a	1	32-25
D2b2	2	32-25
D2b	2	32-23
D2c	4	32-23
D3	4	32-25
D4	3	32-13
D4_T195C	1	32-14
D4a1	1	33-18
D4a1a1	1	33-20
D4a1a1a	1	33-21
D4a1a	1	33-19
D4a1b1	1	33-20
D4a1b	1	33-19
D4a1c	1	33-19
D4a1d	1	33-19
D4a1e1	2	33-22
D4a1e	2	33-20
D4a1f1	1	33-20
D4a1f	1	33-19
D4a1g	1	33-19
D4a1h	1	33-19
D4a2	1	33-18
D4a2a	3	33-21
D4a2b	1	33-19
D4a3	2	33-19
D4a3a1	2	33-22
D4a3a2	5	33-25
D4a3a	1	33-20
D4a3b1	3	33-23
D4a3b2	3	33-23
D4a3b	1	33-20
D4a4	4	33-22
D4a5	2	33-19
D4a6	3	33-20
D4a7	5	33-22
D4a8	3	33-20
D4a	5	33-17
D4a_C16294T	1	33-18
D4b1	4	32-18
D4b1a1	7	33-25
D4b1a1a	1	33-26
D4b1a2	2	32-21
D4b1a2a1	1	32-23
D4b1a2a2	2	32-24
D4b1a2a	1	32-22
D4b1a	1	32-19
D4b1b1	2	32-23
D4b1b1a1	1	32-26
D4b1b1a	2	32-25
D4b1b2	2	32-22
D4b1b	2	32-21
D4b1b'd	1	32-19
D4b1c	3	32-21
D4b1d	8	34-25
D4b2	3	32-17
D4b2a1	3	32-21
D4b2a2	2	32-20
D4b2a2a1	1	32-23
D4b2a2a2	1	32-23
D4b2a2a	2	32-22
D4b2a2b	1	32-21
D4b2a	1	32-18
D4b2b1	1	32-20
D4b2b1_T146C	1	32-21
D4b2b1a	1	32-21
D4b2b1b	2	32-22
D4b2b1c	1	32-21
D4b2b1d	1	32-22
D4b2b2	1	32-20
D4b2b2a1	1	32-22
D4b2b2a	1	32-21
D4b2b2b	3	33-22
D4b2b2c	3	32-23
D4b2b3	4	32-23
D4b2b4	2	32-21
D4b2b5	1	32-20
D4b2b6	3	32-22
D4b2b7	3	32-22
D4b2b	2	32-19
D4b2d	5	32-22
D4b	1	32-14
D4c1	2	33-15
D4c1a1	1	34-21
D4c1a	6	34-20
D4c1b1	3	33-21
D4c1b2	1	33-19
D4c1b	3	33-18
D4c2	2	32-16
D4c2a	4	32-20
D4c2b	2	32-18
D4c2c	1	32-17
D4c	1	32-14
D4d	8	32-21
D4e1	2	32-17
D4e1'3	1	32-15
D4e1a1	3	32-24
D4e1a2	1	32-22
D4e1a2a	3	32-25
D4e1a3	1	32-22
D4e1a	4	32-21
D4e1c	1	32-18
D4e2	1	32-15
D4e2a	2	33-16
D4e2b	1	32-16
D4e2c	1	32-16
D4e2d	1	32-16
D4e3	2	32-17
D4e4	2	32-16
D4e4a1	3	32-20
D4e4a	1	32-17
D4e4b	2	32-18
D4e5	4	32-18
D4e5a	3	34-19
D4e5b	2	32-20
D4e	1	32-14
D4f1	4	33-17
D4f	1	32-14
D4g1	5	34-17
D4g1a	2	34-19
D4g1b	2	34-19
D4g1c	1	34-18
D4g2	2	32-16
D4g2a1	1	32-19
D4g2a1a	5	33-23
D4g2a1b	3	32-21
D4g2a1c	1	32-20
D4g2a	2	32-18
D4g2b1	1	32-18
D4g2b1a	6	32-24
D4g2b	1	32-17
D4g	1	32-14
D4h1	1	32-17
D4h1a1	2	32-22
D4h1a2	4	32-24
D4h1a	3	32-20
D4h1b	2	32-19
D4h1c1	2	33-23
D4h1c	5	33-21
D4h1d	6	32-23
D4h2	6	32-22
D4h3	4	33-19
D4h3a1	2	33-27
D4h3a1a1	2	33-31
D4h3a1a2	1	33-30
D4h3a1a	2	33-29
D4h3a2	2	34-26
D4h3a3	1	33-25
D4h3a3a	1	33-26
D4h3a4	3	33-28
D4h3a5	1	34-25
D4h3a6	4	33-29
D4h3a7	1	33-27
D4h3a8	3	33-29
D4h3a9	2	33-28
D4h3a	6	33-25
D4h3a_C152T	1	33-26
D4h3b	9	33-28
D4h4	1	32-17
D4h4a	5	33-21
D4h	3	32-16
D4i1	2	32-16
D4i2	1	32-15
D4i3	4	32-18
D4i	1	32-14
D4j1	1	32-15
D4j1a1	2	32-21
D4j1a1a	1	32-22
D4j1a1b	1	32-22
D4j1a2	2	32-21
D4j1a	4	32-19
D4j1b2	2	32-19
D4j1b	2	32-17
D4j2	5	33-18
D4j2a	1	33-19
D4j3	1	32-16
D4j3a1	3	32-20
D4j3a	1	32-17
D4j4	1	32-15
D4j4a	1	32-16
D4j5	2	32-16
D4j5a	2	32-18
D4j6	1	32-16
D4j7	3	32-17
D4j7a	2	32-19
D4j8	1	32-15
D4j9	1	32-16
D4j10	1	32-15
D4j11	2	32-17
D4j12	3	32-17
D4j13	3	32-18
D4j14	1	32-15
D4j15	1	32-15
D4j16	2	32-16
D4j	1	32-14
D4j_C16286T	1	32-15
D4j_T146C	1	32-15
D4j_T16311C	1	32-15
D4k	2	33-15
D4l1	1	32-16
D4l1a1	1	32-19
D4l1a	2	32-18
D4l2	3	33-17
D4l2a1	3	33-21
D4l2a2	1	33-19
D4l2a	1	33-18
D4l2b	2	33-19
D4l	2	32-15
D4m1	6	33-20
D4m2	4	32-19
D4m2a1	1	32-21
D4m2a1a	1	32-22
D4m2a	1	32-20
D4m	2	32-15
D4n1	1	32-16
D4n1a	1	32-17
D4n2	2	32-17
D4n	2	32-15
D4o1	5	32-21
D4o1a	1	32-22
D4o2	3	32-19
D4o2a1	2	32-22
D4o2a	1	32-20
D4o	2	32-16
D4p1	1	32-17
D4p	2	32-16
D4q1	1	32-17
D4q1a	2	32-19
D4q	3	32-16
D4s	3	32-16
D4t	2	32-15
D5	4	32-15
D5a1	5	32-23
D5a1a1	1	32-25
D5a1a2	1	32-25
D5a1a	1	32-24
D5a2	2	32-21
D5a2a1	1	32-24
D5a2a1_C16172T	1	33-24
D5a2a1a1	1	34-27
D5a2a1a1a	1	34-28
D5a2a1a2	1	34-27
D5a2a1a	3	34-26
D5a2a1b1	1	32-26
D5a2a1b	1	32-25
D5a2a2	1	32-24
D5a2a	1	32-22
D5a2a_T16092C	1	32-23
D5a2b	1	32-22
D5a3	1	32-20
D5a3a1	1	32-22
D5a3a1a	3	32-25
D5a3a	1	32-21
D5a	3	32-19
D5a'b	1	32-16
D5b1	1	32-22
D5b1a1	1	32-24
D5b1a2	2	32-25
D5b1a	1	32-23
D5b1b1	3	32-26
D5b1b2	3	32-26
D5b1b	1	32-23
D5b1c1	5	34-26
D5b1c1a	2	35-27
D5b1c	1	32-23
D5b1d	3	32-25
D5b2	11	32-32
D5b3	1	32-22
D5b3a1	1	32-25
D5b3a	2	32-24
D5b4	7	33-27
D5b	5	32-21
D5c1	4	33-25
D5c1a	3	34-27
D5c2	7	33-29
D5c	7	33-21
D5c_T16311C	1	33-22
D6	5	32-16
D6a1	5	33-21
D6a1a	1	33-22
D6a2	6	33-22
D6a	1	32-17
D6c1	1	33-20
D6c1a	2	33-22
D6c	4	33-19
D	2	32-10
D_T16189C	1	32-11
E1	2	32-16
E1a1	1	32-19
E1a1a1	1	33-20
E1a1a1a	1	33-21
E1a1a1b1	1	33-23
E1a1a1b2	1	33-23
E1a1a1b	2	33-22
E1a1a1c	2	33-22
E1a1a	1	33-19
E1a1b1	1	32-21
E1a1b2	1	32-21
E1a1b3	1	33-20
E1a1b4	1	32-21
E1a1b	1	32-20
E1a1c	1	32-20
E1a2	3	33-20
E1a2_C16261T	1	33-21
E1a2a1	1	33-23
E1a2a2	1	33-23
E1a2a3	5	33-27
E1a2a4	2	33-24
E1a2a	1	33-22
E1a	2	32-18
E2	6	32-20
E2a1	1	32-22
E2a1a	3	32-25
E2a2	1	32-22
E2a	1	32-21
E2b1	1	32-22
E2b2	1	32-22
E2b	1	32-21
E	5	32-14
F1	4	39-13
F1_T16189C	1	39-14
F1a1	1	39-20
F1a1'4	1	39-19
F1a1a1	1	39-23
F1a1a	2	39-22
F1a1b	2	39-22
F1a1c1	4	39-26
F1a1c2	2	39-24
F1a1c3	2	40-23
F1a1c	2	39-22
F1a1d1	2	39-24
F1a1d	2	39-22
F1a2	2	40-19
F1a2a	1	40-20
F1a3	1	39-19
F1a3_T16311C	1	39-20
F1a3a1	2	40-24
F1a3a1a	2	40-26
F1a3a2	3	39-26
F1a3a3	1	39-24
F1a3a3a	1	39-25
F1a3a	3	39-23
F1a3b	5	39-24
F1a4	1	39-20
F1a4a1	3	40-25
F1a4a	3	40-22
F1a4b	2	39-22
F1a	2	39-18
F1a'c'f	3	39-16
F1b1	2	40-22
F1b1_C152T	1	40-23
F1b1a1	1	40-25
F1b1a1a1	1	40-27
F1b1a1a1a	1	40-28
F1b1a1a2	1	40-27
F1b1a1a3	1	40-27
F1b1a1a	1	40-26
F1b1a2	1	40-25
F1b1a	2	40-24
F1b1b	3	40-25
F1b1c	4	42-24
F1b1d	2	40-25
F1b1e1	2	40-27
F1b1e	2	40-25
F1b1f	1	40-24
F1b	7	40-20
F1c1	2	40-19
F1c1a1	1	40-21
F1c1a1a	1	40-22
F1c1a1b	1	40-22
F1c1a2	1	40-21
F1c1a	1	40-20
F1c	2	39-18
F1d1	1	39-20
F1d	5	39-19
F1e1	1	39-17
F1e1a	7	39-24
F1e2	7	39-23
F1e3	2	39-18
F1e	2	39-16
F1f	3	39-19
F1g1	1	39-17
F1g	2	39-16
F2	7	39-16
F2_C16291T	1	39-17
F2_T195C	1	39-17
F2a1	1	40-19
F2a	1	39-18
F2a_T16291C	1	40-18
F2b1	1	39-19
F2b	1	39-18
F2c1	2	39-19
F2c2	9	39-26
F2c	1	39-17
F2d	3	40-18
F2e1	7	39-26
F2e	3	39-19
F2f	1	39-17
F2g	1	39-18
F2h	6	39-23
F2i	7	40-23
F3	9	40-17
F3a1	4	40-24
F3a	2	40-19
F3a_G207A	1	40-20
F3b1	6	42-24
F3b1a1	1	42-28
F3b1a2	2	43-27
F3b1a	2	42-26
F3b1a_T16093C	1	42-27
F3b1b1	1	43-27
F3b1b	3	43-26
F3b	2	40-19
F3b_T152C	1	41-19
F4	3	39-12
F4a1	3	40-20
F4a1a	6	40-26
F4a1b	5	40-25
F4a2	5	40-22
F4a	6	40-17
F4b1	1	40-19
F4b	7	40-18
F	3	39-9
G1	3	32-15
G1a1	2	32-19
G1a1a1	1	32-22
G1a1a2	1	32-22
G1a1a3	3	32-24
G1a1a4	1	32-22
G1a1a	2	32-21
G1a1b	1	32-20
G1a2	2	32-20
G1a2'3	1	32-18
G1a3	3	34-19
G1a	2	32-17
G1b1	1	33-21
G1b2	2	33-23
G1b3	2	33-23
G1b4	1	33-22
G1b	6	33-20
G1b_G16129A	1	33-21
G1c1	3	32-20
G1c2	2	32-19
G1c	2	32-17
G2	2	32-14
G2a1	1	32-20
G2a1_T16189C	1	32-21
G2a1_T16189C_A16194G	1	32-22
G2a1b	6	32-26
G2a1c1	1	32-23
G2a1c2	1	32-24
G2a1c	1	32-23
G2a1d1	2	32-26
G2a1d1a	1	32-27
G2a1d2	3	34-25
G2a1d2a	2	34-27
G2a1d	3	32-24
G2a1e	2	32-22
G2a1f1	3	32-24
G2a1f	1	32-21
G2a1g	2	32-22
G2a1h	3	32-23
G2a2	3	33-22
G2a2a	2	33-24
G2a3	4	33-23
G2a3a	3	33-26
G2a4	3	33-22
G2a5	6	33-25
G2a	4	32-19
G2a'c	1	32-15
G2a_T152C	1	33-19
G2b1	1	32-16
G2b1a1	5	32-22
G2b1a2	3	32-20
G2b1a	1	32-17
G2b1b	2	32-18
