hGrp	HG00096
H1a1d1	136	607-131
H1a1d2	98	607-101
H1a1d2a	6	607-105
H1a1d2b	3	607-104
H1a1d2b1	12	607-111
H1a1d2b1a	2	607-113
H1a1d2b2	7	607-110
H1a1d2b2a	37	607-131
H1a1d2b3a	2	607-106
H1a1d2b3a1	9	607-113
H1a1d2b3a1a	11	607-121
H1a1d2b3a1a1	11	607-128
H1a1d2c1	6	607-105
H1a1d2c1a	42	607-138
H1a1d2c1a1	12	607-144
H1a1d2c1b	1	607-106
H1a1d2c1b1	3	607-107
H1a1d2c1b1a	5	607-112
H1a1d2c2	55	607-138
H1a1d2c2a	18	607-150
H1a2	2	607-28
H1a2a	21	607-44
H1a2a1	128	607-121
H1a2a1a	9	607-124
H1b	2	607-26
H1b1	234	607-187
H1b2	51	607-61
H1b2a	95	607-127
H2	7	607-25
H3	180	607-144
H3a	131	607-231
H3a1	223	607-391
H3a2	45	607-255
H3a2a	59	607-296
H3a2a1	4	607-298
H3a2a1a	35	607-329
H3a2a2	61	607-335
H3a2b	182	607-367
H3b	86	607-193
H3b1	242	607-366
HIJK	1	607-0
I	204	609-138
I1	23	609-157
I1a1	1	609-158
I1a1b	1	609-159
I1a1b3	1	609-160
I1a1b3a	1	609-161
I1a1b3a1	1	609-162
I1a1b3b	1	609-161
I1a1b4	1	609-160
I1a2	1	609-158
I1a2a	1	609-159
I1a2a1	3	609-162
I1a2a1a	2	609-164
I1a2a1a1	1	609-165
I1a2a1a1a	1	609-166
I1a2a1a1a1	1	609-167
I1a2a1a1b	1	609-166
I1a2a1a2	1	609-165
T1a1a1a1a1a	1	612-114
I1a2a1b1	1	609-163
I1a2b	3	609-160
I1a2b1	1	609-161
I1a3	1	609-158
T1a1a1a1a1b	1	612-114
I1a3a2	2	609-159
I1a3a2c	1	609-160
I1b1	1	609-158
I2	2	609-140
I2a	1	609-141
I2a1	1	609-142
I2a1a	1	609-143
I2a1a1	3	609-145
I2a1a1a1	1	609-146
I2a1a1a1a	1	609-147
I2a1a1a1a1	1	609-148
B2b	1	381-5
I2a1b	11	609-152
I2a1b1a	1	609-153
I2a1b2	1	609-153
I2a1b2a	1	609-154
I2a1b2a1	2	609-155
I2a1b2a1b1	1	609-156
I2a2	7	609-148
I2a2a	11	609-158
I2a2a1	2	609-160
I2a2a1a	1	609-161
I2a2a1a1a	1	609-162
I2a2a1a1a1	3	609-164
I2a2a1a1a1a	1	609-165
I2a2a1a2	3	609-163
I2a2a1a2a1	2	609-164
I2a2a1a2a1a1a1	1	609-165
I2a2a1a2a1a1b1	1	609-165
I2a2a1a2a1a1d	1	609-165
I2a2a1b	2	609-162
C2c	1	578-15
I2a2a1b2	1	609-163
I2a2a1b2a	1	609-164
I2a2a1b2a1	1	609-165
I2a2a1b2a1a2a	1	609-166
I2a2a1b2a2	1	609-165
I2a2a1b2a2a	1	609-166
I2a2a1b2a2a1	2	609-167
I2a2a1b2a2a1a	1	609-168
I2a2a1b2a2a1a1	1	609-169
I2a2a1b2a2a1a1a	1	609-170
I2a2a1b2a2a1a1a1	1	609-171
I2a2a1b2a2a1a1a1a1a	1	609-172
I2a2a1b2a2a1a1a1a1a1	1	609-173
I2a2a1b2a2a1a1a1a1a1c	1	609-174
I2a2a1b2a2a1a1a1a2	1	609-172
I2a2a1b2a2a2	2	609-167
I2a2a1b2a2a2a	1	609-168
R1b1a2a1a2f	1	687-1
C2e1b	4	578-25
R1b1a2a1a2c2a	1	689-2
I2a2a1b2a2b	2	609-166
I2a2a1b2a2b1	1	609-167
I2a2a1b2c	1	609-164
I2a2b	5	609-150
C2e1b2	1	578-26
I2a2b2b	2	609-151
I2b	3	609-141
R1b1a2a1a3	2	686-2
I2c1a2a	1	609-142
I2c1a2a1	1	609-143
I2c1a2a1a1a	1	609-144
I2c2	27	609-142
IJ	8	609-7
IJK	2	609-0
J	140	609-101
J1	3	609-103
J1a	1	609-104
J1a2b	1	609-105
J1a2b1	2	609-106
J1a2b2a1	1	609-106
J1a2b3	1	609-106
J1a2b3a	1	609-107
J1a2b3a1	1	609-108
J1a3	1	609-105
J2	2	609-103
J2a	4	609-105
J2a1	2	609-107
J2a1a	2	609-109
J2a1b	1	609-108
J2a1b1	2	609-110
J2a1b3	2	609-110
J2a1c	1	609-108
J2a1d	1	609-108
J2a1h	2	609-109
J2a1h2	1	609-110
J2a1h2a1	3	609-113
J2a1h2d	1	609-111
J2a1i	2	609-108
J2b	5	609-107
J2b2	1	609-108
J2b2a	1	609-109
J2b2a1	1	609-110
J2b2a1a	2	609-112
J2b2a1a1	2	609-114
K	4	612-0
K2	1	613-0
K2b	1	614-0
L/K1a	48	612-58
L1	5	612-63
D1b	6	575-69
L1a1	3	612-71
L1a2	2	612-70
D1b1	1	575-70
LT/K1	15	612-13
D1b1a	1	575-71
N/K2a1	2	613-11
N1	1	613-12
N1a	1	613-13
N1c	1	613-13
N1c1	3	613-16
N1c1a	2	613-18
N1c1a1	2	613-20
N1c1a1a	1	613-21
N1c1a1a1	1	613-22
N1c1a1a1a	1	613-23
N1c1a1a1a1a1	2	613-24
N1c1a1a1a1a4a	1	613-24
N1c1a1a2	2	613-23
N1c1a1a2a	1	613-24
N1c1a1a2a1	1	613-25
N1c1a1a2a1a	1	613-26
N1c1a1a2a1a1	1	613-27
N1c2	1	613-14
NO/K2a	8	613-5
NO1	5	613-9
O/K2a2	80	613-63
O1	5	613-68
O1a	3	613-70
O1a1	1	613-71
O1a1a	17	613-85
O1a1a1	6	613-91
O1a1a1a	16	613-104
O1a1a1a1	5	613-107
O1a1a1a1a	1	613-108
O1a1a1a1a1	6	613-112
O1a1a1a1a1a	2	613-114
O1a1a1a1a2	10	613-115
O1a1a1b	1	613-92
O1a1a1b2	3	613-95
O1a1a1b2a	1	613-96
O1a1a1b2a1	2	613-97
O1a1a2	5	613-89
O1a1a2a	3	613-92
O1a1a2a1	2	613-93
O1a1b	39	613-105
O1b	9	613-75
O1b1	3	613-78
O1b1a	1	613-79
O1b1a1	23	613-101
O1b1a1a	9	613-108
O1b1a1a1	3	613-111
O1b1a1a1a	1	613-112
O1b1a1a1a1	9	613-120
O1b1a1a1a1a	2	613-121
O1b1a1a1a1a1	1	613-122
O1b1a1a1a1a1a	4	613-125
D1b1b	1	575-71
O1b1a1a1a1a1a1a	2	613-127
O1b1a1a1a1a1a1a1	3	613-130
O1b1a1a1a1a1a3	1	613-126
O1b1a1a1a1a1b	2	613-124
O1b1a1a1a1a1b1	1	613-125
O1b1a1a1a1a2	1	613-122
O1b1a1a1a1b	1	613-121
D1b1d	1	575-71
O1b1a1a1a1b1a	1	613-122
O1b1a1a1a1b2	1	613-122
O1b1a1a1a2	3	613-115
O1b1a1a1a2a	1	613-116
O1b1a1a1a2a1	3	613-117
O1b1a1a1a2a1a	2	613-119
O1b1a1a1a2a2	5	613-120
O1b1a1a1a2a2a	1	613-121
O1b1a1a1a2b	4	613-118
O1b1a1a1b	6	613-116
O1b1a1a1b1	1	613-117
O1b1a1a1b1a	4	613-121
O1b1a1a1b1a2	2	613-123
O1b1a1a1b1b	3	613-120
O1b1a1a1b2	1	613-117
O1b1a1a2	8	613-116
O1b1a1b	2	613-103
O1b1a1b1	8	613-111
O1b1a2	17	613-96
O1b1a2a	24	613-118
O1b1a2a1	11	613-128
O1b1a2b	11	613-106
O1b1a2b1	6	613-109
O1b1a2b1a	5	613-110
O1b1a2b2	5	613-110
O1b1a2c	1	613-97
O1b2	5	613-79
O1b2a	10	613-88
O1b2a1	9	613-96
O1b2a1a	3	613-99
O1b2a1a1	8	613-107
O1b2a1c	3	613-98
O1b2a2	4	613-92
O1b2a2a	4	613-96
O1b2a2a1	2	613-98
O1b2a2a1a	2	613-99
O1b2a2b	3	613-95
O1b2a3	5	613-92
O1b2a3a	9	613-96
O1b2b	3	613-82
O2	9	613-72
O2a	15	613-84
O2a1	24	613-107
O2a1a	8	613-115
O2a1a1	1	613-116
O2a1a1b	1	613-117
O2a1a2	17	613-129
O2a1a2a	4	613-133
O2a1c	12	613-118
O2a1c1	2	613-119
O2a1c1a	2	613-121
O2a1c1a1	1	613-122
O2a1c1a1a	4	613-126
O2a1c1a1a1	9	613-135
O2a1c1a1a1a	1	613-136
O2a1c1a1a1a1	8	613-142
O2a1c1a1a1a1a	1	613-143
O2a1c1a1a1a2	1	613-137
O2a1c1a1a1b	5	613-139
O2a1c1a3	4	613-124
O2a1c1a4	3	613-123
O2a1c1a4a	1	613-124
O2a1c1a5	16	613-129
O2a1c1a6	2	613-123
O2a1c1a6a	1	613-124
O2a1c1a6a1	2	613-126
E	151	575-126
O2a1c1b1	1	613-121
O2a1c1b1a	3	613-124
O2a1c1b1a1	6	613-130
T1	1	612-51
O2a1c2	2	613-120
O2a2	3	613-87
O2a2a	1	613-88
O2a2a1	3	613-91
O2a2a1a	7	613-97
E1a	327	575-356
O2a2a1a1a	1	613-99
O2a2a1a2	9	613-105
O2a2a1a2a	8	613-112
O2a2a1a2a1	1	613-113
O2a2a1a2a1a	3	613-115
O2a2a1a2a2	2	613-114
O2a2a2	1	613-89
O2a2a2a	1	613-90
O2a2b	9	613-95
O2a2b1	1	613-96
O2a2b1a	1	613-97
O2a2b1a1	18	613-115
O2a2b1a1a	2	613-117
O2a2b1a1a1	1	613-118
O2a2b1a1a1a	1	613-119
O2a2b1a1a1a1	8	613-125
O2a2b1a1a1a3	3	613-121
O2a2b1a1a2a	3	613-120
O2a2b1a1a2a1	2	613-122
O2a2b1a1a3	1	613-118
O2a2b1a1a3a	21	613-136
O2a2b1a1a3b	4	613-121
O2a2b1a1b	4	613-119
O2a2b1a2	10	613-107
O2a2b1a2a	3	613-110
O2a2b1a2a1	13	614-123
O2a2b1a2b	6	613-113
O2a2b2	6	613-100
O2a2b2a	2	613-102
O2a2b2a1	7	613-109
O2a2b2a1a	2	613-110
O2a2b2a1a1	1	613-111
O2a2b2a1b	1	613-110
O2a2b2a1b1	1	613-111
