hGrp	HG00096
B5a2a1b	1	381-140.6
B5a2a2	1	381-121.9
B5a2a2a1	2	381-151.7
B5a2a2a2	1	381-144.3
B5a2a2a	3	381-138
B5a2a2b1	1	381-148.8
B5a2a2b1a	1	381-155.1
B5a2a2b2	1	381-141.7
B5a2a2b	2	381-140.7
B5a2a	3	381-115.2
B5a	4	381-78
B5b1	2	391-141.8
B5b1a1	4	401-168.2
B5b1a2	6	391-183.4
B5b1a2a	1	391-192.2
B5b1a	2	391-157.2
B5b1c1	2	392-207.4
B5b1c1a	1	392-217.4
B5b1c	7	392-191.3
B5b2	6	381-176.2
B5b2_C204T	1	391-176.2
B5b2a1	3	391-195.5
B5b2a2	2	391-184.9
B5b2a2a1	1	391-194
B5b2a2a2	6	401-229.8
B5b2a2a	1	391-193
B5b2a	1	391-176.2
B5b2b	1	381-183.5
B5b2c1	3	401-221.9
B5b2c	3	391-203.8
B5b3	6	381-174.1
B5b3a	3	381-190.4
B5b3b	1	381-179.4
B5b4	4	381-156.1
B5b5	8	382-180.6
B5b	11	381-133.7
B6	4	381-44.9
B6a1	4	401-69.9
B6a1a	3	411-79.4
B6a	4	381-58.4
C1	2	311-130.2
C1a	3	311-149.1
C1b1	1	311-149
C1b2	5	311-186.6
C1b3	1	311-145.5
C1b4	7	311-181.6
C1b5	2	311-155.9
C1b5a	1	311-162.6
C1b5b	2	311-170.4
C1b6	4	311-166.2
C1b7	1	311-147.9
C1b7a	1	311-154.9
C1b8	2	311-148.5
C1b8a	5	311-186.4
C1b9	2	311-153.3
C1b10	5	311-163
C1b11	1	311-144.2
C1b12	1	311-146.6
C1b13	2	311-159
C1b13a1	2	311-183.4
C1b13a	1	311-167.1
C1b13b	2	311-172.4
C1b13c1	1	311-172.6
C1b13c	1	311-164.5
C1b13d	2	311-171.6
C1b13e	1	311-167.1
C1b14	3	311-161.2
C1b	1	311-139
C1b_T16311C	1	311-140.6
C1c1	1	311-148
C1c1a	1	311-156.8
C1c1b	1	311-153.5
C1c2	4	311-171.6
C1c3	7	311-179.7
C1c4	2	311-151.7
C1c5	2	311-155.9
C1c6	2	311-155.2
C1c7	5	311-173
C1c8	2	311-152.2
C1c	2	311-141.3
C1c_T195C	1	311-143.3
C1d1	1	311-148.9
C1d1a1	2	321-179.1
C1d1a	3	321-166.5
C1d1b1	1	311-166.4
C1d1b	2	311-160.9
C1d1c1	2	331-157.7
C1d1c	2	311-157.7
C1d1d	1	311-152.1
C1d2	1	311-148.9
C1d2a	2	311-159.5
C1d3	3	311-161.1
C1d	1	311-134.7
C1d_C194T	1	311-140.1
C1e	11	322-197
C1f	1	311-137.5
C4	3	311-147.6
C4_T152C	1	312-147.6
C4_T152C_T16093C	1	312-150.8
C4a1	3	321-172.2
C4a1a1	2	331-199.1
C4a1a1a	3	331-227.9
C4a1a2	1	321-201.1
C4a1a2a	1	321-206.5
C4a1a3	1	321-199.2
C4a1a3a1	1	321-214.9
C4a1a3a	1	321-206.8
C4a1a3b	1	321-205.1
C4a1a3c	1	321-206.5
C4a1a3d	1	331-199.2
C4a1a4	1	321-197.4
C4a1a4a	1	321-206.2
C4a1a5	3	321-206.7
C4a1a6	1	321-195.2
C4a1a	2	321-189.1
C4a1a_T195C	1	321-191.1
C4a1b	2	321-186.7
C4a2	1	321-161.3
C4a2a1	1	321-191.6
C4a2a1a	1	321-199.7
C4a2a1b	2	321-210.4
C4a2a	3	321-183.5
C4a2b1	3	321-203.4
C4a2b2	4	321-213.8
C4a2b2a	4	331-238.8
C4a2b	3	321-187.1
C4a2c1	5	321-215.9
C4a2c2	2	321-199.5
C4a2c2a	1	321-206.8
C4a2c	3	321-185.4
C4a	1	321-156.4
C4a'b'c	1	321-147.6
C4b1	2	321-162
C4b1a	2	321-168.7
C4b1b	1	321-170.8
C4b2	1	321-162.2
C4b2a	1	321-163.2
C4b3	1	321-159.3
C4b3a1	1	321-174.1
C4b3a	1	321-169.3
C4b3b	2	321-172.6
C4b5	1	321-162.4
C4b6	1	321-165.7
C4b7	2	321-168
C4b8	1	321-156.7
C4b8a	2	321-168.7
